signal,cand_cagr_full,cand_sharpe_full,cand_cagr_oos,cand_is_oos_gap,cand_sharpe_oos,cand_maxdd,cand_worst10y,cand_p10_5y,cand_trades_yr,cand_wfe,cand_ci95_lo,base_cagr_oos,judgment,n_improved
3L:mom126+VZ+MACRO,0.09732758506207206,1.0406442316741162,0.07250882795438351,0.02742523559147725,0.8014619039864121,-0.19671196457468998,0.020714949579519804,0.026201923916920954,108.1867627785059,38.63494074192634,4.486998082059458,0.180655139996462,MARGINAL,4
2L:VZ+MACRO,0.09473838887611952,0.8984138587849007,0.08091286369930417,0.015104482760152305,0.8175163461879,-0.25768971523116413,0.011459783080165042,0.013378371388990317,86.56855832241153,14.812384783846257,-0.8509874431549314,0.180655139996462,MARGINAL,4
2L:mom126+VZ,0.09309439171632938,0.8250653302162205,0.12564160355337783,-0.03582888590423128,1.0255310360664855,-0.2745842453574241,0.0033855596376923813,0.014986180515994586,84.73034076015728,30.36829139311547,-6.781542981764385,0.180655139996462,MARGINAL,4
2L:mom126+VT,0.09246016752695363,0.9860636916130999,0.14644134217373095,-0.05937819477613382,1.2861956045603542,-0.2010893717756539,0.004420211553554543,0.016776862984800255,119.42669724770641,21.974066683748667,-9.604614725683405,0.180655139996462,MARGINAL,5
1L:MACRO,0.09049122459749404,0.6828755310764476,0.06478806280064009,0.028230208213670727,0.5549491546380241,-0.29297617918627084,0.005312141790258629,0.0008202769462697846,70.54159895150721,14.046026033922322,-3.022635920120493,0.180655139996462,MARGINAL,4
3L:mom126+VT+VZ,0.09034013400382324,1.0597182355125823,0.12901069868472614,-0.042561384239279354,1.2698854125013657,-0.1848650243322556,0.005779731561450507,0.016654184306207732,119.63732634338139,23.805725359457053,-6.600239290764264,0.180655139996462,MARGINAL,5
2L:mom126+MACRO,0.08888465756477881,0.7355592498607592,0.05206048141008557,0.04070571394920286,0.4807506789705353,-0.2929761791862707,0.008836512265056884,0.012576358393108755,96.65960681520315,49.53233058531858,1.0770496044544018,0.180655139996462,MARGINAL,4
1L:mom126,0.08866012238913923,0.6224947035541617,0.1559329839334489,-0.07395976117281333,0.9774175480699758,-0.46741583285765886,-0.0069398481148443825,0.005270889895086728,66.3864613368283,34.369541444681374,-9.89121371178836,0.180655139996462,MARGINAL,4
5L:mom126+VT+VZ+MACRO+DB,0.0868488956789577,1.2732312427380972,0.07698669926129487,0.010898835317901812,1.1475193612677599,-0.1289169613320812,0.021037844060968647,0.028340590896209016,130.39855832241153,31.7503007979899,4.724079006665548,0.180655139996462,MARGINAL,5
4L:mom126+VT+VZ+MACRO,0.08673703128878896,1.2746379492725355,0.07536442814934197,0.01256649199124138,1.1237095117018967,-0.13285125142055576,0.021622008764841105,0.028191125300182064,127.89015727391873,31.716570027287265,4.72588212668137,0.180655139996462,MARGINAL,5
3L:mom126+VT+MACRO,0.0852561464164252,1.1301222866926754,0.06385023693755243,0.023650491432389398,0.8747745785343553,-0.15382399047417095,0.022291654453772125,0.0254066597848857,127.79441677588466,32.58854432946126,1.5008923301459518,0.180655139996462,MARGINAL,4
2L:VT+MACRO,0.08388649704177675,0.9516318223133278,0.07365837602481573,0.011135236141847082,0.890616304307929,-0.24509638640701392,0.013398910317808266,0.012591563306669733,115.3864482306684,10.443729813557038,-2.6624426986621756,0.180655139996462,MARGINAL,4
3L:VT+VZ+MACRO,0.08333809044372242,1.03227730307456,0.08197070703348985,0.0013565177931325056,1.0586338900224954,-0.2291594644287448,0.009815494081869103,0.012551421096746855,116.05663171690694,13.081927164789466,-0.645708379642862,0.180655139996462,MARGINAL,4
1L:ma200,0.07784890082433527,0.5588264462845097,0.14291032370196666,-0.071534862917781,0.905731524338948,-0.48374175818233267,-0.017536786419280692,-0.007354781973453672,66.90346002621231,41.66948082821211,-8.729710921986193,0.180655139996462,MARGINAL,4
1L:dualma50_200,0.07614455575919421,0.5581565016392366,0.14703124879322016,-0.0779209469874973,0.9402569889883647,-0.5316188807520641,-0.010403583121666449,-0.01862528031014321,61.388807339449535,66.35379493886896,1.6955358247977799,0.180655139996462,MARGINAL,4
1L:mom252,0.07263983951005848,0.5342644590789339,0.12247300168004882,-0.0549935149574905,0.8038017248322068,-0.467415832857659,-0.012559947021796192,-0.014492970476824317,65.77372214941022,48.3727906069332,-6.406812186698129,0.180655139996462,MARGINAL,4
1L:donch100_50,0.06320552034650828,0.5150440868759024,0.18122043887831119,-0.1294686772538869,1.137664567632276,-0.48887589117460994,-0.030564927009379295,-0.021052629972595157,82.8729750982962,63.48688873832022,-1.9647255041081024,0.180655139996462,STRONG_PASS,5
1L:VT,0.056210213915917295,0.5078497183932131,0.1619892190672081,-0.11626298023366344,1.2642574757034428,-0.4847581668563943,-0.050327427099276734,-0.05468122788358219,92.48532110091743,0.9365828357007312,0.13367384917162123,0.180655139996462,MARGINAL,5
