CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,Trades_yr,window_id,short_flag,start_date,end_date,strategy
-0.19606457223887486,-0.6923980578740281,-0.31466060634150606,0.26527080600961467,0.5139442231075697,252,80.0,1977,False,1977-01-03,1977-12-30,NEW-CAND-vz0.625
1.3558638617377081,2.7352898452377787,-0.3381918029412313,0.3357294978514951,0.6374501992031872,252,86.0,1978,False,1978-01-03,1978-12-29,NEW-CAND-vz0.625
0.21127021546026525,0.7026473410509072,-0.44735240383327046,0.38946006452111925,0.5952380952380952,253,63.74703557312253,1979,False,1979-01-02,1979-12-31,NEW-CAND-vz0.625
0.793716423860255,1.7015047480732703,-0.47820913126126385,0.39003836039209655,0.5714285714285714,253,69.72332015810277,1980,False,1980-01-02,1980-12-31,NEW-CAND-vz0.625
-0.3537571426176124,-1.50825161951261,-0.4394707296540026,0.26656734128171594,0.5396825396825397,253,90.6403162055336,1981,False,1981-01-02,1981-12-31,NEW-CAND-vz0.625
0.9225250235314801,1.9518078860209507,-0.21425179208050882,0.3712348831931441,0.5634920634920635,253,100.600790513834,1982,False,1982-01-04,1982-12-31,NEW-CAND-vz0.625
0.09197984032960949,0.4447898948148049,-0.4024707175412984,0.3074757908475048,0.5396825396825397,253,98.60869565217392,1983,False,1983-01-03,1983-12-30,NEW-CAND-vz0.625
-0.1634261233695934,-0.5356182808997273,-0.24882150715783713,0.26975765156940973,0.43253968253968256,253,56.77470355731225,1984,False,1984-01-03,1984-12-31,NEW-CAND-vz0.625
1.382270180986093,2.733948459016766,-0.3446655210022197,0.3402756187268564,0.5776892430278885,252,44.0,1985,False,1985-01-02,1985-12-31,NEW-CAND-vz0.625
0.3587049659702657,0.9300691588578148,-0.4787985715284887,0.43657255494120883,0.5753968253968254,253,89.64426877470356,1986,False,1986-01-02,1986-12-31,NEW-CAND-vz0.625
0.6607718954310333,1.6307335048632563,-0.29044816365941595,0.3503712351990664,0.5515873015873016,253,93.62845849802372,1987,False,1987-01-02,1987-12-31,NEW-CAND-vz0.625
-0.3265512996929424,-1.2448226671157334,-0.3978866370278916,0.2853532169401934,0.47619047619047616,253,34.86166007905138,1988,False,1988-01-04,1988-12-30,NEW-CAND-vz0.625
0.5204366712259807,1.3102707684426091,-0.2499342664599291,0.37657813407918483,0.5856573705179283,252,72.0,1989,False,1989-01-03,1989-12-29,NEW-CAND-vz0.625
-0.4964484081675302,-1.3967880743021206,-0.5749949593346201,0.42578626357119914,0.503968253968254,253,101.59683794466403,1990,False,1990-01-02,1990-12-31,NEW-CAND-vz0.625
0.8220535887925504,1.4513147707164915,-0.3657661642416633,0.5039947541802442,0.5515873015873016,253,139.44664031620553,1991,False,1991-01-02,1991-12-31,NEW-CAND-vz0.625
0.4943363859657086,1.2286982776785504,-0.35259104118515117,0.3896561125862041,0.5217391304347826,254,124.01574803149606,1992,False,1992-01-02,1992-12-31,NEW-CAND-vz0.625
-0.0640767258973084,-0.0402354654398682,-0.309913191926515,0.3244372787483046,0.5714285714285714,253,112.55335968379447,1993,False,1993-01-04,1993-12-31,NEW-CAND-vz0.625
-0.16114863423069714,-0.33666683148213883,-0.34686923024145067,0.3449906023270123,0.50199203187251,252,118.0,1994,False,1994-01-03,1994-12-30,NEW-CAND-vz0.625
1.5313943729584096,2.8576011343919316,-0.1591712745422027,0.34801088246283696,0.6095617529880478,252,110.0,1995,False,1995-01-03,1995-12-29,NEW-CAND-vz0.625
0.4600255759142726,1.0503933269125045,-0.3242862022657331,0.4647548578553312,0.5691699604743083,254,114.09448818897638,1996,False,1996-01-02,1996-12-31,NEW-CAND-vz0.625
0.5781419963781085,1.678348198242792,-0.22045188360584234,0.29994493986310605,0.5396825396825397,253,139.44664031620553,1997,False,1997-01-02,1997-12-31,NEW-CAND-vz0.625
