strategy,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,n_trades_yr
(1) S2_VZGated [baseline],0.335486,0.275052,0.770446,-0.633666,0.177388,0.073156,-0.050716,0.060434,27.115499
(2) S2+LT2-N750-k0.5-modeB,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,-0.028273,0.001760,27.115499
(3) DH Dyn [A+LT2] TQQQ,0.221198,0.188696,0.776586,-0.447590,0.133457,0.096920,0.025927,0.032502,27.115499
