label,eps_0,mode,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr,tilt_updates,eps_t_mean,eps_t_std,verdict
ε=0.015/fixed,0.015000,fixed,0.325370,0.368445,0.934500,-0.630874,0.185841,0.102703,-0.043075,51.571114,1859,0.015000,0.000000,PASS
ε₀=0.010/adaptive,0.010000,adaptive,0.325423,0.368325,0.934301,-0.630686,0.185845,0.102753,-0.042902,51.819880,1873,0.010100,0.004265,PASS
ε₀=0.015/adaptive,0.015000,adaptive,0.325440,0.368445,0.934500,-0.630874,0.185944,0.102818,-0.043005,51.532842,1857,0.015150,0.006398,PASS
ε₀=0.020/adaptive,0.020000,adaptive,0.325629,0.368445,0.934500,-0.630429,0.186261,0.103110,-0.042816,51.303212,1844,0.020200,0.008531,PASS
