Category,Strategy,Sharpe,CAGR,MaxDD,Worst5Y,Trades,Trades/Year,HOLD%
G-Current,Ens2(S+T) Th20% [Current 1st],0.8630376241651522,0.23513708557501523,-0.5244568260676239,-0.04673446796584402,744,15.698568198944988,78.77417734237628
F-Delay,S1 DD-Only delay=1d,0.8175603687178273,0.28877560888885223,-0.6311328897099174,-0.08756539080948744,30,0.6330067822155236,78.77417734237628
F-Delay,7v-Ext Stepped delay=1d,0.8153268444559839,0.25025915230994844,-0.8154124505056874,-0.16120342702541457,437,9.220798794272795,78.65695386418822
C-H1,"DIVERSE 3v(S1,S5,S7)",0.7701109920251317,0.27780851101983317,-0.9058160442183656,-0.23993826859692535,56,1.1816126601356443,83.89014485472663
A-Subset,"MajVote 3v-Diverse(S1,S5,S7)",0.7701109920251317,0.27780851101983317,-0.9058160442183656,-0.23993826859692535,56,1.1816126601356443,83.89014485472663
F-Delay,S1 DD-Only delay=3d,0.7675725653007444,0.2653951791369069,-0.7048782331456184,-0.13687126422288365,30,0.6330067822155236,78.77417734237628
G-Current,DD-Only [Current 6th],0.7562407257747636,0.2630333779749696,-0.7604727394106182,-0.15468163678642655,30,0.6330067822155236,78.77417734237628
F-Delay,S1 DD-Only delay=5d,0.7562407257747636,0.2630333779749696,-0.7604727394106182,-0.15468163678642655,30,0.6330067822155236,78.77417734237628
B-Threshold,11v Threshold 9/11=82%,0.7408614040752226,0.2322663067054882,-0.7229125804130258,-0.17373784670529513,124,2.616428033157498,64.90831449384577
E-StepTh,11v Stepped Th=20%,0.7367017096060785,0.24335106359093395,-0.795017546962512,-0.16142739902669245,266,5.61266013564431,85.11261827011639
E-StepTh,11v Stepped Th=25%,0.7367017096060785,0.24335106359093395,-0.795017546962512,-0.16142739902669245,266,5.61266013564431,85.11261827011639
D-Stepped,11v-Full Stepped(4-step),0.7367017096060785,0.24335106359093395,-0.795017546962512,-0.16142739902669245,266,5.61266013564431,85.11261827011639
E-StepTh,11v Stepped Th=15%,0.7367017096060785,0.24335106359093395,-0.795017546962512,-0.16142739902669245,266,5.61266013564431,85.11261827011639
G-Ensemble,Stepped 11v Th=20%,0.7367017096060785,0.24335106359093395,-0.795017546962512,-0.16142739902669245,266,5.61266013564431,85.11261827011639
F-Delay,S1 DD-Only delay=7d,0.73616917734492,0.2542401338743374,-0.8250482042826447,-0.209667261578239,30,0.6330067822155236,78.77417734237628
F-Delay,7v-Ext Stepped delay=3d,0.732448597283553,0.21876425158825752,-0.7822415446917065,-0.13196861005952587,437,9.220798794272795,78.65695386418822
C-H1,"HOMO 5v-Price(S1,S2,S3,S5,S13)",0.7307063571376954,0.24766171278666893,-0.7844415005404938,-0.1839575245649422,64,1.3504144687264505,77.30051075944068
A-Subset,"MajVote 5v-Alt(S1,S3,S7,S9,S13)",0.7239701480573023,0.2484191650885148,-0.8732912497534101,-0.2246963626556293,64,1.3504144687264505,81.50380976304112
D-Stepped,13v-All Stepped(4-step),0.7209493726675529,0.22977062090883416,-0.8066360511143846,-0.16865799746988908,327,6.899773926149209,85.48103491585029
E-BinaryRaw,11v >64% (raw),0.7207744670997681,0.24001086786411308,-0.7718311890530346,-0.1638241796972768,76,1.60361718161266,75.06489156828268
B-Threshold,11v Threshold 7/11=64%,0.7207744670997681,0.24001086786411308,-0.7718311890530346,-0.1638241796972768,76,1.60361718161266,75.06489156828268
G-Ensemble,MajVote 11v >64%,0.7207744670997681,0.24001086786411308,-0.7718311890530346,-0.1638241796972768,76,1.60361718161266,75.06489156828268
D-Stepped,7v-Ext Stepped(4-step),0.7178265488810281,0.21697058901951505,-0.7750114762319169,-0.18933441088656133,437,9.220798794272795,78.65695386418822
E-StepTh,7v-Ext Stepped Th=25%,0.7178265488810281,0.21697058901951505,-0.7750114762319169,-0.18933441088656133,437,9.220798794272795,78.65695386418822
E-StepTh,7v-Ext Stepped Th=20%,0.7178265488810281,0.21697058901951505,-0.7750114762319169,-0.18933441088656133,437,9.220798794272795,78.65695386418822
F-Delay,7v-Ext Stepped delay=5d,0.7178265488810281,0.21697058901951505,-0.7750114762319169,-0.18933441088656133,437,9.220798794272795,78.65695386418822
G-Ensemble,Stepped 7v Th=20%,0.7178265488810281,0.21697058901951505,-0.7750114762319169,-0.18933441088656133,437,9.220798794272795,78.65695386418822
E-StepTh,7v-Ext Stepped Th=15%,0.7178265488810281,0.21697058901951505,-0.7750114762319169,-0.18933441088656133,437,9.220798794272795,78.65695386418822
F-Delay,7v-Ext MajVote delay=1d,0.7166294998752122,0.23929302267721453,-0.9517360568051197,-0.34431404796009946,82,1.7302185380557649,78.65695386418822
F-Delay,S1 DD-Only delay=10d,0.7141194099390733,0.24327974642999428,-0.7751193517795749,-0.16545926690822765,30,0.6330067822155236,78.77417734237628
F-Delay,7v-Ext Stepped delay=7d,0.7050212115083383,0.21444262498555777,-0.8035660167706993,-0.23212266986943708,437,9.220798794272795,78.65695386418822
A-Subset,"MajVote 5v-Core(S1,S4,S5,S7,S11)",0.7003329753954463,0.23605994466375746,-0.9106178147863525,-0.255914362817966,84,1.7724189902034664,80.64975299338525
C-H1,"DIVERSE 5v(S1,S4,S5,S7,S11)",0.7003329753954463,0.23605994466375746,-0.9106178147863525,-0.255914362817966,84,1.7724189902034664,80.64975299338525
B-Threshold,11v Threshold 4/11=36%,0.6990950480720598,0.25185681181097586,-0.9476648351159919,-0.30334642163163394,52,1.097211755840241,92.7070250355857
G-Ensemble,MajVote 7v >71%,0.6988769691360674,0.22693771036156063,-0.8557317514001901,-0.1917318839828538,96,2.025621703089676,73.39027045131039
B-Threshold7,7v-Ext Threshold 5/7=71%,0.6988769691360674,0.22693771036156063,-0.8557317514001901,-0.1917318839828538,96,2.025621703089676,73.39027045131039
E-BinaryRaw,7v-Ext >71% (raw),0.6988769691360674,0.22693771036156063,-0.8557317514001901,-0.1917318839828538,96,2.025621703089676,73.39027045131039
B-Threshold,11v Threshold 5/11=45%,0.6970288713837824,0.24656296945529732,-0.9205954492693457,-0.2572802521474653,58,1.2238131122833458,89.63409528594156
E-BinaryRaw,11v >73% (raw),0.6952200532761263,0.2208560774511843,-0.7740890579690998,-0.21611223809229962,84,1.7724189902034664,70.7192497697396
G-Ensemble,MajVote 11v >73%,0.6952200532761263,0.2208560774511843,-0.7740890579690998,-0.21611223809229962,84,1.7724189902034664,70.7192497697396
B-Threshold,11v Threshold 8/11=73%,0.6952200532761263,0.2208560774511843,-0.7740890579690998,-0.21611223809229962,84,1.7724189902034664,70.7192497697396
C-H1,"HOMO 3v-DD(S1,S2,S13)",0.6947783758609268,0.23033450999334648,-0.7639087878436619,-0.17620264254137208,36,0.7596081386586284,79.84593485723856
F-Delay,11v MajVote delay=7d,0.6914698193985287,0.23915873989692304,-0.8792857986161379,-0.20394993445228438,70,1.4770158251695553,85.11261827011639
A-Subset,"MajVote 9v(S1-3,S4-6,S7-9)",0.6869639536167442,0.23339876575085916,-0.9359927659426538,-0.28815072572523714,76,1.60361718161266,83.0695805074102
F-Delay,11v MajVote delay=10d,0.6804650593467295,0.23356711516822992,-0.9177616450161589,-0.24036422014832126,70,1.4770158251695553,85.11261827011639
F-Delay,11v MajVote delay=1d,0.6795826916023854,0.22737732952802814,-0.956174628289342,-0.34220543346813626,70,1.4770158251695553,85.11261827011639
A-Subset,"MajVote 7v-Alt(S1,S4-7,S9,S13)",0.6782461641677573,0.22806218038983528,-0.9288076058592643,-0.28931986987872327,74,1.5614167294649584,83.08632671857991
A-Subset,"MajVote 3v-AltDiv(S1,S4,S11)",0.6768257809880357,0.22028153388321736,-0.8552891267344619,-0.23815540069099006,84,1.7724189902034664,76.82324374110358
F-Delay,7v-Ext MajVote delay=3d,0.6764441471819099,0.22082634764447784,-0.9234574548119843,-0.2808036694867807,82,1.7302185380557649,78.65695386418822
A-Subset,"MajVote 7v-Ext(S1,S3-5,S7,S8,S11)",0.6728507325733905,0.22038755117964337,-0.9202508192893984,-0.260960790711547,82,1.7302185380557649,78.65695386418822
B-Threshold7,7v-Ext Threshold 3/7=43%,0.6728507325733905,0.22038755117964337,-0.9202508192893984,-0.260960790711547,82,1.7302185380557649,78.65695386418822
B-Threshold7,7v-Ext Threshold 4/7=57%,0.6728507325733905,0.22038755117964337,-0.9202508192893984,-0.260960790711547,82,1.7302185380557649,78.65695386418822
E-BinaryRaw,7v-Ext >50% (raw),0.6728507325733905,0.22038755117964337,-0.9202508192893984,-0.260960790711547,82,1.7302185380557649,78.65695386418822
D-Binary,7v-Ext Binary(>50%),0.6728507325733905,0.22038755117964337,-0.9202508192893984,-0.260960790711547,82,1.7302185380557649,78.65695386418822
G-Ensemble,MajVote 7v >50%,0.6728507325733905,0.22038755117964337,-0.9202508192893984,-0.260960790711547,82,1.7302185380557649,78.65695386418822
F-Delay,7v-Ext MajVote delay=5d,0.6728507325733905,0.22038755117964337,-0.9202508192893984,-0.260960790711547,82,1.7302185380557649,78.65695386418822
F-Delay,7v-Ext MajVote delay=7d,0.6705809427870647,0.22128258219866725,-0.8813376786399126,-0.2558087814152925,82,1.7302185380557649,78.65695386418822
A-Subset,MajVote 11v-Full(S1-S11),0.6681430749589679,0.22434939498860218,-0.9495090419756049,-0.3146542644073118,70,1.4770158251695553,85.11261827011639
E-BinaryRaw,11v >55% (raw),0.6681430749589679,0.22434939498860218,-0.9495090419756049,-0.3146542644073118,70,1.4770158251695553,85.11261827011639
D-Binary,11v-Full Binary(>50%),0.6681430749589679,0.22434939498860218,-0.9495090419756049,-0.3146542644073118,70,1.4770158251695553,85.11261827011639
B-Threshold,11v Threshold 6/11=55%,0.6681430749589679,0.22434939498860218,-0.9495090419756049,-0.3146542644073118,70,1.4770158251695553,85.11261827011639
F-Delay,11v MajVote delay=5d,0.6681430749589679,0.22434939498860218,-0.9495090419756049,-0.3146542644073118,70,1.4770158251695553,85.11261827011639
F-Delay,7v-Ext Stepped delay=10d,0.6658491408230011,0.1987010566877283,-0.8066160937204161,-0.24297490183415116,437,9.220798794272795,78.65695386418822
F-Delay,11v MajVote delay=3d,0.659445463774416,0.21816790417884202,-0.9422232812388777,-0.316947144440188,70,1.4770158251695553,85.11261827011639
A-Subset,"MajVote 11v-NoVoV(S1-9,S11,S12)",0.6538584049281496,0.21550526034256556,-0.9381610082244727,-0.29494580176331975,90,1.8990203466465712,84.16645733902705
A-Subset,MajVote 13v-All,0.6423412444841765,0.20946544582551185,-0.9520369836143294,-0.34705155850413716,88,1.8568198944988694,85.48103491585029
D-Binary,13v-All Binary(>50%),0.6423412444841765,0.20946544582551185,-0.9520369836143294,-0.34705155850413716,88,1.8568198944988694,85.48103491585029
F-Delay,7v-Ext MajVote delay=10d,0.6297119772142896,0.19957980186922675,-0.9327402221879808,-0.290557525170243,82,1.7302185380557649,78.65695386418822
B-Threshold7,7v-Ext Threshold 6/7=86%,0.6288751273528531,0.15399143560133943,-0.7370186795577365,-0.1870778515664968,271,5.718161266013564,45.60830612074018
