Strategy,Sharpe,CAGR,MaxDD,Worst5Y,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,Y2022,Trades,Rebalances
Baseline: MD(40/120),0.8728427692993649,0.23211208003561223,-0.5057982661457524,-0.009113114308973103,0.7146707244116912,0.18919255034396487,-0.32864162939863995,-15.243889076732387,34,1009
Ref: MD(60/180),0.8787645591613973,0.23327511452164074,-0.5057982661457524,-0.00401939117383443,0.6340642363140228,0.15546987157576164,-0.38662437834522356,-22.838064996589434,34,972
Ref: V2 MD(60)+AsymHAR,0.8954551682704092,0.24086810747962306,-0.5057982661457523,-0.006258215829669012,0.6248240220817193,0.152112221840504,-0.38893926332767215,-24.311220968238047,34,959
A1: VolTermStructure+MD(60),0.8126456771498499,0.16572934229138614,-0.42920609990540237,-0.08209699731945397,0.7128429309324944,0.14928160827438974,-0.2978077991632042,-15.551101338487161,34,1517
A2: VIX MeanRevert+MD(60),0.9119444963486277,0.23824355236294648,-0.46039732668497385,-0.0037072236277004844,0.7729679920310214,0.20123976587661008,-0.3422911497816331,-18.9580807907879,34,997
A3: VolSpread+MD(60),0.9383425399917515,0.24820472511796932,-0.4890689783644311,-0.023229822131579758,0.6811240214271164,0.17053060529962338,-0.40404098128336163,-22.270113616283925,34,1139
A4: VTS+MD(60)+AsymHAR,0.836525997206059,0.17922724266085321,-0.3962417281125671,-0.03881056535653349,0.6525852468270007,0.1367413416377834,-0.2837916127119269,-15.264993263237203,34,1349
A5: VIX+VolCPPI+MD(60)+AsymHAR,0.914468034524523,0.2361023043278292,-0.4569418974323974,-0.00033104871507250166,0.7676567922361758,0.1952010303627354,-0.32840239590196374,-18.64199821491991,34,1001
