date,DH-REF (現行),DH-Z1 (DH base + binary vz),DH-Z2 (F10 e tilt + binary vz),DH-Z3 (DH base + composite),DH-Z4 (Fixed bull 80/10/10 + binary vz),"DH-Z5 (Regime preset switch, always IN)"
83,1.140583,1.000000,1.000000,1.000000,1.000000,1.151980
84,1.145558,1.000000,1.000000,1.000000,1.000000,1.157504
85,1.138370,1.000000,1.000000,1.000000,1.000000,1.149373
86,1.131517,1.000000,1.000000,1.000000,1.000000,1.141625
87,1.118370,1.000000,1.000000,1.000000,1.000000,1.126827
88,1.113973,1.000000,1.000000,1.000000,1.000000,1.121847
89,1.113751,1.000000,1.000000,1.000000,1.000000,1.121542
90,1.135915,1.000000,1.000000,1.000000,1.000000,1.146285
91,1.141182,1.000000,1.000000,1.000000,1.000000,1.152134
92,1.136145,1.000000,1.000000,1.000000,1.000000,1.146428
93,1.131707,1.000000,1.000000,1.000000,1.000000,1.141397
94,1.131901,1.000000,1.000000,1.000000,1.000000,1.141560
95,1.135065,1.000000,1.000000,1.000000,1.000000,1.145049
96,1.129494,1.000000,1.000000,1.000000,1.000000,1.138750
97,1.118080,1.000000,1.000000,1.000000,1.000000,1.125908
98,1.125158,1.000000,1.000000,1.000000,1.000000,1.133771
99,1.125332,1.000000,1.000000,1.000000,1.000000,1.133914
100,1.125712,1.000000,1.000000,1.000000,1.000000,1.134285
101,1.113862,1.000000,1.000000,1.000000,1.000000,1.120963
102,1.103871,1.000000,1.000000,1.000000,1.000000,1.109737
103,1.126555,1.000000,1.000000,1.000000,1.000000,1.135021
104,1.111892,1.000000,1.000000,1.000000,1.000000,1.118551
105,1.111405,1.000000,1.000000,1.000000,1.000000,1.117953
106,1.101171,1.000000,1.000000,1.000000,1.000000,1.106460
107,1.112738,1.000000,1.000000,1.000000,1.000000,1.119321
108,1.128009,1.000000,1.000000,1.000000,1.000000,1.136335
109,1.120905,1.000000,1.000000,1.000000,1.000000,1.128327
110,1.117206,1.000000,1.000000,1.000000,1.000000,1.124135
111,1.118319,1.000000,1.000000,1.000000,1.000000,1.125323
112,1.105881,1.000000,1.000000,1.000000,1.000000,1.111361
113,1.116647,1.000000,1.000000,1.000000,1.000000,1.123327
114,1.120886,1.000000,1.000000,1.000000,1.000000,1.128009
115,1.120249,1.000000,1.000000,1.000000,1.000000,1.127242
116,1.112222,1.000000,1.000000,1.000000,1.000000,1.118212
117,1.116959,1.000000,1.000000,1.000000,1.000000,1.123449
118,1.103822,1.000000,1.000000,1.000000,1.000000,1.108715
119,1.102441,1.000000,1.000000,1.000000,1.000000,1.107122
120,1.097300,1.000000,1.000000,1.000000,1.000000,1.101336
121,1.078468,1.000000,1.000000,1.000000,1.000000,1.080282
122,1.082828,1.000000,1.000000,1.000000,1.000000,1.085086
123,1.066553,1.000000,1.000000,1.000000,1.000000,1.066914
124,1.077141,1.000000,1.000000,1.000000,1.000000,1.078634
125,1.069254,1.000000,1.000000,1.000000,1.000000,1.069809
126,1.047841,1.000000,1.000000,1.000000,1.000000,1.045956
127,1.046425,1.000000,1.000000,1.000000,1.000000,1.044336
128,1.022186,1.000000,1.000000,1.000000,1.000000,1.017408
129,1.037746,1.000000,1.000000,1.000000,1.000000,1.034569
130,1.052391,1.000000,1.000000,1.000000,1.000000,1.050743
131,1.050292,1.000000,1.000000,1.000000,1.000000,1.048367
132,1.022481,1.000000,1.000000,1.000000,1.000000,1.017474
133,1.043605,1.000000,1.000000,1.000000,1.000000,1.040784
134,1.042340,1.000000,1.000000,1.000000,1.000000,1.039333
135,1.039581,1.000000,1.000000,1.000000,1.000000,1.036229
136,1.036174,1.000000,1.000000,1.000000,1.000000,1.032406
137,1.048834,1.000000,1.000000,1.000000,1.000000,1.046371
138,1.064328,1.000000,1.000000,1.000000,1.000000,1.063497
139,1.064676,1.000000,1.000000,1.000000,1.000000,1.063834
140,1.055245,1.000000,1.000000,1.000000,1.000000,1.053314
141,1.061670,1.000000,1.000000,1.000000,1.000000,1.060392
142,1.068433,1.000000,1.000000,1.000000,1.000000,1.067848
143,1.080931,1.000000,1.000000,1.000000,1.000000,1.081680
144,1.088500,1.000000,1.000000,1.000000,1.000000,1.090045
145,1.111700,1.000000,1.000000,1.000000,1.000000,1.115808
146,1.091686,1.000000,1.000000,1.000000,1.000000,1.093435
147,1.101042,1.000000,1.000000,1.000000,1.000000,1.103794
148,1.096174,1.000000,1.000000,1.000000,1.000000,1.098317
149,1.082883,1.000000,1.000000,1.000000,1.000000,1.083466
150,1.092103,1.000000,1.000000,1.000000,1.000000,1.093660
151,1.087600,1.000000,1.000000,1.000000,1.000000,1.088592
152,1.083069,1.000000,1.000000,1.000000,1.000000,1.083495
153,1.078466,1.000000,1.000000,1.000000,1.000000,1.078322
154,1.079761,1.000000,1.000000,1.000000,1.000000,1.079704
155,1.076950,1.000000,1.000000,1.000000,1.000000,1.076526
156,1.088197,1.000000,1.000000,1.000000,1.000000,1.088962
157,1.090451,1.000000,1.000000,1.000000,1.000000,1.091412
158,1.083362,1.000000,1.000000,1.000000,1.000000,1.083472
159,1.085740,1.000000,1.000000,1.000000,1.000000,1.086057
160,1.093285,1.000000,1.000000,1.000000,1.000000,1.094385
161,1.089767,1.000000,1.000000,1.000000,1.000000,1.090414
162,1.088574,1.000000,1.000000,1.000000,1.000000,1.089026
163,1.078512,1.000000,1.000000,1.000000,1.000000,1.077781
164,1.078088,1.000000,1.000000,1.000000,1.000000,1.077250
165,1.076620,1.000000,1.000000,1.000000,1.000000,1.075560
166,1.079226,1.000000,1.000000,1.000000,1.000000,1.078393
167,1.080727,1.000000,1.000000,1.000000,1.000000,1.080002
168,1.086289,1.000000,1.000000,1.000000,1.000000,1.086122
169,1.096760,1.000000,1.000000,1.000000,1.000000,1.097694
