l_max,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap
5.000000,0.313757,0.247781,0.767017,-0.573494,0.181568,0.110479,0.006897,0.065976
6.000000,0.329422,0.261242,0.761877,-0.606993,0.194333,0.095293,-0.011810,0.068180
7.000000,0.335486,0.275052,0.770446,-0.633666,0.177388,0.073156,-0.050716,0.060434
8.000000,0.336173,0.275388,0.762169,-0.664522,0.171360,0.063528,-0.075203,0.060786
