config,signal,N,k_lt,mode,n_trades,CAGR_IS,CAGR_OOS,CAGR_FULL,Sharpe_OOS,MaxDD_FULL,W5Y_FULL,W10Y_STAR,IS_OOS_GAP
LT6-N1250-k0.5-modeB,LT6,1250,0.5000,B,1417,0.2172,0.1326,0.2088,0.6331,-0.4193,0.0345,0.1262,0.0846
LT6-N1250-k0.7-modeB,LT6,1250,0.7000,B,1417,0.2084,0.1249,0.2002,0.6194,-0.4041,0.0298,0.1177,0.0835
LT6-N1250-k1.0-modeB,LT6,1250,1.0000,B,1417,0.1933,0.1139,0.1856,0.5984,-0.3779,0.0220,0.1053,0.0794
LT7-N750x1250-k0.3-modeB,LT7,fixed,0.3000,B,1417,0.2273,0.1683,0.2216,0.7153,-0.4548,0.0240,0.1355,0.0590
LT7-N750x1250-k0.5-modeB,LT7,fixed,0.5000,B,1417,0.2190,0.1797,0.2152,0.7452,-0.4487,0.0236,0.1295,0.0392
LT7-N750x1250-k0.7-modeB,LT7,fixed,0.7000,B,1417,0.2144,0.1839,0.2115,0.7498,-0.4464,0.0260,0.1265,0.0305
LT7-N750x1250-k1.0-modeB,LT7,fixed,1.0000,B,1417,0.2096,0.1839,0.2072,0.7448,-0.4476,0.0255,0.1253,0.0257
LT2-N750-k0.5-modeC,LT2,750,0.5000,C,1111,0.2018,0.1648,0.1983,0.7140,-0.4575,0.0166,0.1228,0.0370
LT2-N750-k0.7-modeC,LT2,750,0.7000,C,1049,0.1961,0.1748,0.1941,0.7386,-0.4476,0.0209,0.1261,0.0214
LT2-N750-k1.0-modeC,LT2,750,1.0000,C,1033,0.1838,0.1699,0.1825,0.7154,-0.4678,0.0101,0.1107,0.0140
LT2-N1000-k0.5-modeC,LT2,1000,0.5000,C,1149,0.1900,0.1326,0.1845,0.5906,-0.4728,0.0217,0.0895,0.0574
LT2-N1000-k0.7-modeC,LT2,1000,0.7000,C,1093,0.1758,0.1598,0.1743,0.6698,-0.4763,0.0039,0.0648,0.0160
LT2-N1000-k1.0-modeC,LT2,1000,1.0000,C,1044,0.1644,0.1742,0.1653,0.6979,-0.4815,0.0024,0.0599,-0.0097
