k_lt,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,Trades_yr,WFA_CI95_lo,WFA_WFE
0.300000,0.323331,0.288419,0.801756,-0.615586,0.172851,0.083137,-0.030913,0.034912,27.115499,,
0.500000,0.311790,0.294181,0.813726,-0.603890,0.169451,0.088031,-0.031017,0.017609,27.115499,,
0.700000,0.304934,0.291548,0.807798,-0.597402,0.169024,0.097256,-0.026896,0.013386,27.115499,,
