indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset,BH_pval,FDR_sig
TF4_DualM_42_252,63,-0.2207025004267384,1.4984834935748512e-141,0.2207025004267384,0.4264591439688716,0.612822906940554,-0.1304719058098246,-18.283473664550414,-0.099432404983835,6,-0.0618481346679864,-0.1666238096057218,-0.125649393063624,0.4009648991941194,-0.3189888153971546,-0.0084073847046046,-0.4154741966418733,Gold,1.4984834935748513e-139,1.0
TF4_DualM_42_189,63,-0.2120262239456369,1.5246576435418441e-130,0.2120262239456369,0.4239688715953307,0.61531279178338,-0.1185946355021377,-16.56257107046889,-0.0852764433193643,5,-0.0742360081446305,-0.1759001197869347,-0.0911637641398893,0.2920243262064502,-0.2677393061475903,0.0574407253357643,-0.3373609565587204,Gold,1.4941644906710072e-128,1.0
TF4_DualM_63_252,63,-0.1976352534105074,2.4204304458092968e-113,0.1976352534105074,0.4306614785992217,0.6086212262682851,-0.11915117890213,-16.690909821090703,-0.1049214653807263,5,-0.206253940653842,-0.16758747998528,-0.0833025619123312,0.428603530586445,-0.3300191043562731,0.0212356173164549,-0.3971263186602578,Gold,2.275204619060739e-111,1.0
TF4_DualM_63_189,63,-0.1831202332681145,2.6170177883969725e-97,0.1831202332681145,0.4345525291828794,0.6047307812013695,-0.1036077782010061,-14.520782914925036,-0.0883990524187301,5,-0.2207076279390662,-0.1855785004298403,-0.0209453356344098,0.3193116277917474,-0.2635836054345069,0.0715870626787863,-0.3188769879638211,Gold,2.407656365325215e-95,1.0
TF4_DualM_63_252,21,-0.1598735395605241,1.4589840037642429e-74,0.1598735395605241,0.4376357430964939,0.5742205677059097,-0.0448533796057426,-11.08541681175708,-0.0777789986807259,5,0.0122278414618791,-0.1029733310035738,-0.1759724309063246,0.1444597672508709,-0.1751765856586271,-0.0066159318159002,-0.2404023200934056,Gold,1.458984003764243e-72,1.0
MA5_NQ_Bond_Corr_252,63,-0.126854521162324,3.856269742001264e-48,0.126854521162324,0.6173103343001068,0.6410256410256411,-0.0686210625129948,-14.606169390294813,-0.1814012736106967,7,-0.0711572356154723,-0.4287623921153999,-0.3323625674248417,-0.02949889570924,-0.3352711952404163,-0.0503342251430224,-0.0224224040264844,Bond,3.2392665832810615e-46,1.0
TF6_SlopeZ_200_60,21,-0.1144246353195134,7.82006437315455e-39,0.1144246353195134,0.467421656841452,0.5444392740809679,-0.023625010981798,-7.742122169465858,-0.1424155821398962,7,-0.1376727100103218,-0.0791701091691206,-0.3590032797075838,-0.0979600100564451,-0.2322449367242166,-0.010696035930629,-0.0801619933809561,Gold,7.272659867033732e-37,1.0
MA5_NQ_Bond_Corr_126,63,-0.1072982952472693,7.368712930866966e-35,0.1072982952472693,0.597160738818501,0.6611721611721612,-0.0363863640681062,-8.542376382536556,-0.0931674924535315,5,0.0787034676805326,-0.1995249525300374,-0.2875016692877638,-0.0161396623995325,-0.2352506561203243,0.1574758891712709,-0.149934863688866,Bond,5.894970344693573e-33,1.0
TF4_DualM_42_252,5,-0.1026473748383071,1.3950283990907423e-31,0.1026473748383071,0.4806321660985435,0.5589465530596437,-0.0106528934088349,-5.661543972878558,-0.0453139138459712,5,0.0422197035662291,-0.0785458843426864,-0.1135596859988101,0.0128386932322401,-0.1003426988553625,-0.0042403188837066,-0.0755672056397022,Gold,1.4089786830816497e-29,1.0
TF6_SlopeZ_200_120,21,-0.1023454068763194,2.280489310399988e-31,0.1023454068763194,0.4736270555383183,0.538234837909105,-0.0263593514319271,-8.038139415107732,-0.1463850228148557,7,-0.1408122388557301,-0.1310239405188944,-0.3073740760473301,-0.0403366335478656,-0.2372498204047564,-0.0729877704709073,-0.0949106798585062,Gold,2.0296354862559892e-29,1.0
TF4_DualM_63_252,5,-0.1004054833361249,2.7745015331072122e-30,0.1004054833361249,0.4838859621939882,0.555693261037955,-0.0096795521058701,-5.211517205594968,-0.0491191983437625,5,0.0413757627905054,-0.0471703046764173,-0.1293742048805737,0.0306216891214557,-0.1045648350435923,-0.0236443243955483,-0.1110781713221674,Gold,2.7745015331072124e-28,1.0
TF4_DualM_21_252,5,-0.0984544809191447,3.54670909501585e-29,0.0984544809191447,0.4804772234273319,0.5591014717273431,-0.0103279475552026,-5.51922026820549,-0.029361998234978,5,0.0415057999214682,-0.0381464731327087,-0.0410966596532758,0.0024981583165192,-0.0824220597485961,-0.0083744227394982,-0.0794983306087549,Gold,3.511242004065692e-27,1.0
MA5_NQ_Bond_Corr_63,63,-0.0941530454448114,3.422869571607711e-27,0.0941530454448114,0.5931918791024271,0.6651404151404151,-0.0322068120438375,-7.488460207084902,-0.0720776132351382,6,-0.0134652867966073,-0.0966987463660444,-0.1514559671715521,-0.0423206287430928,-0.04193409260941,0.2174699562958292,-0.37613852725509,Bond,2.6356095701379375e-25,1.0
TF4_DualM_42_189,5,-0.0828962441840751,3.954397008564945e-21,0.0828962441840751,0.4869848156182212,0.5525948876839659,-0.0088844473692753,-4.72949848715154,-0.0118207232564792,5,0.1218292365775746,-0.0526594769886768,-0.0681209008093326,0.0248229193516619,-0.0423333745420696,-0.0007358108236435,-0.0655476555608685,Gold,3.7962211282223477e-19,1.0
TF4_DualM_63_189,5,-0.078150436232363,6.000756752321107e-19,0.078150436232363,0.4907034397273009,0.5488768396591789,-0.0092847318580386,-5.04621999085886,-0.0116670379044755,5,0.1173225870433156,-0.0294841849313917,-0.0600524526101012,0.0488456104898476,-0.0524202641880679,-0.0228999043829081,-0.0829806567520233,Gold,5.700718914705052e-17,1.0
MA5_NQ_Bond_Corr_252,21,-0.0772859433552601,7.095124751115676e-19,0.0772859433552601,0.5741022519780888,0.5998782899741366,-0.0191811895743177,-8.049305549133473,-0.0992980180252205,6,0.0397054115981074,-0.2940988793281601,-0.1277070699613415,-0.0494901573535409,-0.1286466947635496,-0.0251730416206378,-0.1096756947474209,Bond,5.88895354342601e-17,1.0
TF5_MACD_12_26_9,21,0.0772605118544847,7.284235847119462e-19,0.0772605118544847,0.6092513694461351,0.5647345200060855,0.0198508974704457,7.945358859812214,0.0342748955374863,5,0.0893763884913819,0.0285989460141122,0.0504405435885329,0.0147294089264841,-0.026122535424256,-0.0225386793494401,0.1054401965155891,Bond,5.973073394637959e-17,1.0
TF5_MACD_26_52_18,63,-0.077028842173277,2.2438834604526464e-18,0.077028842173277,0.5017898832684825,0.537503890445067,-0.0503661819448175,-7.785992361073752,-0.0844255061453325,6,0.0467241028943694,-0.1081958071570918,-0.2067263590848893,-0.0460940085198366,-0.1042327750789984,-0.0703545039172074,-0.1020991921536735,Gold,1.6155960915259053e-16,1.0
TF5_MACD_12_52_9,21,0.0760237474244252,2.5909767967448748e-18,0.0760237474244252,0.6042300669506999,0.56975505857295,0.0221145184194199,9.025269944839984,0.0400891293442385,5,0.1403151147772118,0.0340730431080008,0.0304978344530456,-0.0164456672049065,0.0074488704944119,-0.0304923709190871,0.115227080700993,Bond,2.0986912053633485e-16,1.0
TF6_SlopeZ_100_120,63,-0.0755776752034216,9.562375388049601e-18,0.0755776752034216,0.4873765093304061,0.5514365152919369,-0.0257971581036466,-4.636376654037589,-0.1196501253760557,5,-0.4368069814099543,-0.2523653083142445,-0.2484050451281537,0.098478677047102,-0.02629529054772,0.0727850140352715,-0.0449419433146912,Gold,6.789286525515217e-16,1.0
TF6_SlopeZ_200_60,63,-0.0730806290669632,1.0870273272519363e-16,0.0730806290669632,0.5142412451361867,0.5250544662309368,-0.0407148256713843,-7.643751701494157,-0.1177512048822223,6,-0.1376314983886445,-0.1185006510635992,-0.2869978699131085,0.1029425324430697,-0.2075528400139731,-0.0524844715959761,-0.1240336356433243,Gold,7.609191290763555e-15,1.0
TF6_SlopeZ_100_60,63,-0.0668639087612169,3.258909461880743e-14,0.0668639087612169,0.499215070643642,0.5397315229131306,-0.0301750725412932,-5.776376567502347,-0.08615008124308,5,-0.2721199881818916,-0.22421244819688,-0.1963334476574646,0.1278344109255663,-0.0392288996314461,0.0243140930210587,-0.0233042889805027,Gold,2.0857020556036755e-12,1.0
MA5_NQ_Bond_Corr_126,21,-0.0668054751488504,1.7579819503374605e-14,0.0668054751488504,0.5652769324406574,0.6087022668492317,-0.0080771922658228,-3.671303601898395,-0.0517642900292224,5,0.0494702599343601,-0.1185086085870064,-0.0977175347679709,-0.078207579964343,-0.0564562700717414,0.1019402374110233,-0.1628705341588786,Bond,1.3536461017598447e-12,1.0
VL4_VolTrend_21_63,21,-0.0609460631111815,2.6829704629815367e-12,0.0609460631111815,0.5657334144856969,0.608245854252244,-0.0161193140119186,-7.408587926457564,-0.0492460040692367,5,0.1694700726088071,0.1894663510881246,-0.1793012798993285,-0.3223497517848777,-0.0052372058913867,-0.1029086673202012,-0.093861547285795,Bond,1.9853981426063373e-10,1.0
TF5_MACD_26_52_18,21,0.0602298833942687,4.810014345732246e-12,0.0602298833942687,0.6092513694461351,0.5647345200060855,0.0210781664109849,8.449450162829912,0.0588617829409337,5,0.1973857474182863,0.0784732719415961,-0.0102211708628144,-0.0617169762523217,0.0919702896026782,0.0025076416729679,0.1136336770661439,Bond,3.4151101854698946e-10,1.0
VL2_VolZ_42_126,63,0.0595447515777739,9.016308605320224e-12,0.0595447515777739,0.6530300717447718,0.6053113553113553,0.004190819542137,1.036532494101931,0.0934276996109516,6,0.1814343422750854,0.1125394832536779,0.2367307505608352,-0.1091299882123598,0.0715443786354707,0.0178947085749738,0.1429802221889781,Bond,5.590111335298539e-10,1.0
VL2_VolZ_42_252,63,0.0594798196442219,9.496173019352069e-12,0.0594798196442219,0.667989619905358,0.5903540903540904,0.0057082068803546,1.3413537906365511,0.0917207240579231,5,0.1364701155276996,0.1844568458978895,0.2100666182843228,-0.1035621607550776,0.1245625468947718,-0.1313173314054271,0.2213684339612828,Bond,5.792665541804761e-10,1.0
