strategy,verdict,n_windows,mean_CAGR,median_CAGR,std_CAGR,min_CAGR,max_CAGR,P05_CAGR,P25_CAGR,P75_CAGR,P95_CAGR,WFA_CI95_lo,WFA_CI95_hi,t_stat,t_pvalue,mean_Sharpe,std_Sharpe,mean_CAGR_IS,mean_CAGR_postIS,WFA_WFE,n_windows_IS,n_windows_postIS,crit_alpha,crit_beta
F8-R5,PASS,49,0.436259,0.415451,0.546932,-0.458906,1.712919,-0.305459,-0.061972,0.808481,1.418300,0.279162,0.593357,5.583542,0.000001,0.875953,1.147721,0.428977,0.518187,1.207959,45,4,True,True
REF-F7v3A2,PASS,49,0.426191,0.402352,0.538597,-0.444011,1.710642,-0.297971,-0.069786,0.832768,1.404392,0.271487,0.580894,5.539084,0.000001,0.863656,1.139914,0.419235,0.504435,1.203227,45,4,True,True
