Category,Strategy,Sharpe,CAGR,MaxDD,Worst5Y,Rebalances,Rebal/Year
S1-Original,Ens2(A+S) Daily,1.0313501394979727,0.28579109489517807,-0.481748152488071,0.014116569198921125,4892,103.22230595327807
S1-Threshold,Ens2(A+S) Threshold=5%,1.0220426013720925,0.2817635593989545,-0.481467289425484,0.01605133051268015,2994,63.174076865109264
S2-Original,Ens2(S+T) Daily,1.0136781682374634,0.28463035133354286,-0.481748152488071,0.01355587188559837,4907,103.53880934438583
S1-Threshold,Ens2(A+S) Threshold=10%,1.0058131189135666,0.27502828945705193,-0.481467289425484,0.022521375897701867,1716,36.207987942727954
S2-Threshold,Ens2(S+T) Threshold=5%,1.0053677139262354,0.28089795074672175,-0.481467289425484,0.01446573164557896,2986,63.00527505651846
S1-Threshold,Ens2(A+S) Threshold=15%,0.9919898008183462,0.2687725425713623,-0.481467289425484,0.026018992215379955,1096,23.125847776940464
S2-Threshold,Ens2(S+T) Threshold=10%,0.9858423880308704,0.2728455405845902,-0.481467289425484,0.016382162782831555,1743,36.777694046721926
S2-Threshold,Ens2(S+T) Threshold=15%,0.9746336129276569,0.26692507548212907,-0.481467289425484,0.02762188823199896,1093,23.062547098718913
S1-Threshold,Ens2(A+S) Threshold=20%,0.966121073056107,0.2581788956777842,-0.481467289425484,0.014268262750710692,760,16.0361718161266
S1-Periodic,Ens2(A+S) Periodic=1wk,0.9601686936599708,0.26723825935538104,-0.481467289425484,0.021040927894653727,1225,25.847776940467217
S2-Periodic,Ens2(S+T) Periodic=1wk,0.9567117601451912,0.27067349301489485,-0.481467289425484,0.02322551728333555,1214,25.615674453654858
S2-Threshold,Ens2(S+T) Threshold=20%,0.9518721972775347,0.2564335513508025,-0.481467289425484,0.012580074078847092,744,15.698568198944988
S1-Periodic,Ens2(A+S) Periodic=2wk,0.9448119509339796,0.2660394937057926,-0.481467289425484,-0.00957784413341678,684,14.43255463451394
S2-Periodic,Ens2(S+T) Periodic=2wk,0.9372661754187599,0.2674434557518077,-0.481467289425484,-0.006115236519025458,672,14.179351921627731
S2-Periodic,Ens2(S+T) Periodic=1mo,0.9130232698366265,0.26618328374677214,-0.5306539081355022,-0.020788848328802345,389,8.207987942727957
S3-Threshold,VolSpike Threshold=10%,0.9055631732207091,0.3152895491009644,-0.579622227498051,-0.06252062705193795,597,12.596834966088922
S3-Threshold,VolSpike Threshold=15%,0.9044193738321277,0.31544863242858456,-0.5749616023039157,-0.07693497573830421,533,11.246420497362472
S3-Original,VolSpike Daily,0.901513056806255,0.31722539927400395,-0.5843518931760764,-0.0781026292340048,1112,23.463451394122078
S3-Threshold,VolSpike Threshold=5%,0.9002453712733062,0.31566101794778056,-0.5833361147870149,-0.07741064471343939,845,17.829691032403918
S1-Periodic,Ens2(A+S) Periodic=1mo,0.8999038198654024,0.2586384753421178,-0.5257186249723207,-0.02078310905279357,389,8.207987942727957
S3-Threshold,VolSpike Threshold=20%,0.8976782870129477,0.3107232060115612,-0.585685554555354,-0.07768184808834333,489,10.318010550113037
S1-Periodic,Ens2(A+S) Periodic=3mo,0.8491331200731872,0.2442431594040868,-0.5914429159096151,-0.04611535634316033,151,3.1861341371514693
S2-Periodic,Ens2(S+T) Periodic=3mo,0.8396692318192389,0.24514990640841372,-0.5914429159096148,-0.04572137767563356,151,3.1861341371514693
S3-Periodic,VolSpike Periodic=2wk,0.8323102106982389,0.28448468655980697,-0.5899924822378501,-0.08358318270337584,166,3.502637528259231
S3-Periodic,VolSpike Periodic=1mo,0.8302610093133986,0.28722411724419294,-0.6189925920919929,-0.07879065339570623,93,1.9623210248681235
Ref-DD,DD-Only (3x or Cash),0.8287968219642791,0.2948756441583493,-0.6301816726528569,-0.08344204414198653,30,0.6330067822155236
S3-Periodic,VolSpike Periodic=1wk,0.8249590417796052,0.2798820669750417,-0.6032240792100126,-0.08667920830232423,292,6.161266013564431
S3-Periodic,VolSpike Periodic=3mo,0.8195555809025032,0.2831430310620604,-0.6221089929128113,-0.08344204414198686,52,1.097211755840241
