strategy,verdict,n_windows,mean_CAGR,median_CAGR,std_CAGR,min_CAGR,max_CAGR,P05_CAGR,P25_CAGR,P75_CAGR,P95_CAGR,WFA_CI95_lo,WFA_CI95_hi,t_stat,t_pvalue,mean_Sharpe,std_Sharpe,mean_CAGR_IS,mean_CAGR_postIS,WFA_WFE,n_windows_IS,n_windows_postIS,mean_Trades_yr,crit_alpha,crit_beta
vz065-lmax5,PASS,49,0.371309,0.346232,0.428648,-0.344661,1.241543,-0.255937,-0.005754,0.671686,1.096920,0.248187,0.494431,6.063627,0.000000,0.938875,1.137336,0.363237,0.462121,1.272231,45,4,27.774340,True,True
REF-E4,PASS,49,0.417431,0.396494,0.530362,-0.404136,1.739548,-0.297793,-0.069786,0.808450,1.372811,0.265093,0.569769,5.509477,0.000001,0.866975,1.149048,0.413026,0.466993,1.130664,45,4,27.774340,True,True
