N,k_lt,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,Trades_yr,WFA_CI95_lo,WFA_WFE
500,0.300000,0.335812,0.277271,0.795102,-0.594900,0.175192,0.090191,-0.029162,0.058541,27.115499,,
500,0.500000,0.334329,0.276060,0.808356,-0.569073,0.172756,0.102056,-0.026202,0.058269,27.115499,,
500,0.700000,0.330745,0.273480,0.819845,-0.543756,0.170644,0.113770,-0.021536,0.057265,27.115499,,
750,0.300000,0.325575,0.272798,0.785489,-0.589852,0.174154,0.081494,-0.027933,0.052777,27.115499,,
750,0.500000,0.317533,0.269398,0.793286,-0.560747,0.170735,0.086573,-0.013962,0.048135,27.115499,,
750,0.700000,0.307028,0.265740,0.801425,-0.533651,0.166796,0.090981,-0.004303,0.041288,27.115499,,
1000,0.300000,0.313041,0.266450,0.773111,-0.581998,0.165523,0.079425,-0.034462,0.046592,27.115499,,
1000,0.500000,0.299877,0.259793,0.773781,-0.548410,0.156500,0.083442,-0.030400,0.040083,27.115499,,
1000,0.700000,0.288853,0.252835,0.774240,-0.512979,0.147912,0.088159,-0.029133,0.036019,27.115499,,
