strategy,case,year,return_pct
F8 R5_CALM_BOOST,optimistic,2010,59.54201008689712
F8 R5_CALM_BOOST,optimistic,2011,-15.92328113601919
F8 R5_CALM_BOOST,optimistic,2012,20.45279410385651
F8 R5_CALM_BOOST,optimistic,2013,23.574396462311768
F8 R5_CALM_BOOST,optimistic,2014,0.5924411597782366
F8 R5_CALM_BOOST,optimistic,2015,-29.86182936025527
F8 R5_CALM_BOOST,optimistic,2016,-9.780240490836025
F8 R5_CALM_BOOST,optimistic,2017,69.84598533138859
F8 R5_CALM_BOOST,optimistic,2018,-10.603083887911355
F8 R5_CALM_BOOST,optimistic,2019,43.86192625026406
F8 R5_CALM_BOOST,optimistic,2020,66.31107929037238
F8 R5_CALM_BOOST,optimistic,2021,19.823697744732147
F8 R5_CALM_BOOST,optimistic,2022,-22.020319662451623
F8 R5_CALM_BOOST,optimistic,2023,74.67982803823618
F8 R5_CALM_BOOST,optimistic,2024,49.25227068501177
F8 R5_CALM_BOOST,optimistic,2025,34.34844301490247
F8 R5_CALM_BOOST,optimistic,2026,-8.508508407799138
F8 R5_CALM_BOOST,moderate,1974,15.24524468273417
F8 R5_CALM_BOOST,moderate,1975,-9.678850470187365
F8 R5_CALM_BOOST,moderate,1976,69.42484421818452
F8 R5_CALM_BOOST,moderate,1977,-16.766440061322015
F8 R5_CALM_BOOST,moderate,1978,111.6245992815605
F8 R5_CALM_BOOST,moderate,1979,16.469331708543805
F8 R5_CALM_BOOST,moderate,1980,61.86690529278165
F8 R5_CALM_BOOST,moderate,1981,-33.586292267717674
F8 R5_CALM_BOOST,moderate,1982,73.74088701939317
F8 R5_CALM_BOOST,moderate,1983,6.615871358214208
F8 R5_CALM_BOOST,moderate,1984,-18.80961871784871
F8 R5_CALM_BOOST,moderate,1985,118.70228657521338
F8 R5_CALM_BOOST,moderate,1986,28.455949263201504
F8 R5_CALM_BOOST,moderate,1987,55.53953527943355
F8 R5_CALM_BOOST,moderate,1988,-28.3884762883348
F8 R5_CALM_BOOST,moderate,1989,42.48850587872578
F8 R5_CALM_BOOST,moderate,1990,-41.876304493704474
F8 R5_CALM_BOOST,moderate,1991,65.13391143582999
F8 R5_CALM_BOOST,moderate,1992,45.506183450967384
F8 R5_CALM_BOOST,moderate,1993,-6.676747624164708
F8 R5_CALM_BOOST,moderate,1994,-13.74829974370025
F8 R5_CALM_BOOST,moderate,1995,121.4970714320178
F8 R5_CALM_BOOST,moderate,1996,35.68581322822704
F8 R5_CALM_BOOST,moderate,1997,46.764805990514176
F8 R5_CALM_BOOST,moderate,1998,59.60078521730237
F8 R5_CALM_BOOST,moderate,1999,66.48547437858451
F8 R5_CALM_BOOST,moderate,2000,-10.499908664172425
F8 R5_CALM_BOOST,moderate,2001,-6.580149068813447
F8 R5_CALM_BOOST,moderate,2002,10.785406675833766
F8 R5_CALM_BOOST,moderate,2003,86.65667557569651
F8 R5_CALM_BOOST,moderate,2004,0.8141587182756436
F8 R5_CALM_BOOST,moderate,2005,-21.31849989633427
F8 R5_CALM_BOOST,moderate,2006,42.40909542695914
F8 R5_CALM_BOOST,moderate,2007,17.10340407258341
F8 R5_CALM_BOOST,moderate,2008,16.356938433004252
F8 R5_CALM_BOOST,moderate,2009,48.10978968029858
F8 R5_CALM_BOOST,moderate,2010,58.70252471992162
F8 R5_CALM_BOOST,moderate,2011,-16.426267592484713
F8 R5_CALM_BOOST,moderate,2012,19.642505553377628
F8 R5_CALM_BOOST,moderate,2013,22.368291186373373
F8 R5_CALM_BOOST,moderate,2014,-0.14014455514357002
F8 R5_CALM_BOOST,moderate,2015,-30.44235469355911
F8 R5_CALM_BOOST,moderate,2016,-10.36448625738218
F8 R5_CALM_BOOST,moderate,2017,68.05104135880738
F8 R5_CALM_BOOST,moderate,2018,-11.25794623168367
F8 R5_CALM_BOOST,moderate,2019,42.959958431441365
F8 R5_CALM_BOOST,moderate,2020,65.5801359475501
F8 R5_CALM_BOOST,moderate,2021,19.08299457817273
F8 R5_CALM_BOOST,moderate,2022,-22.08642645777753
F8 R5_CALM_BOOST,moderate,2023,73.68631455279133
F8 R5_CALM_BOOST,moderate,2024,47.748601692531025
F8 R5_CALM_BOOST,moderate,2025,33.47305787812441
F8 R5_CALM_BOOST,moderate,2026,-8.689655979480985
F8 R5_CALM_BOOST,conservative (base),1974,15.24524468273417
F8 R5_CALM_BOOST,conservative (base),1975,-10.554214065904207
F8 R5_CALM_BOOST,conservative (base),1976,67.36837462409271
F8 R5_CALM_BOOST,conservative (base),1977,-17.87603758876026
F8 R5_CALM_BOOST,conservative (base),1978,108.89511108609304
F8 R5_CALM_BOOST,conservative (base),1979,15.26484323946187
F8 R5_CALM_BOOST,conservative (base),1980,60.71157870594228
F8 R5_CALM_BOOST,conservative (base),1981,-34.35243525471756
F8 R5_CALM_BOOST,conservative (base),1982,71.67075186919088
F8 R5_CALM_BOOST,conservative (base),1983,4.870428655548387
F8 R5_CALM_BOOST,conservative (base),1984,-19.811947287155025
F8 R5_CALM_BOOST,conservative (base),1985,116.0638803816239
F8 R5_CALM_BOOST,conservative (base),1986,26.292572690113115
F8 R5_CALM_BOOST,conservative (base),1987,52.8029141012918
F8 R5_CALM_BOOST,conservative (base),1988,-28.768015703267018
F8 R5_CALM_BOOST,conservative (base),1989,40.68448467556326
F8 R5_CALM_BOOST,conservative (base),1990,-42.345639552338575
F8 R5_CALM_BOOST,conservative (base),1991,61.77217297887866
F8 R5_CALM_BOOST,conservative (base),1992,42.91443977229537
F8 R5_CALM_BOOST,conservative (base),1993,-8.518447221041248
F8 R5_CALM_BOOST,conservative (base),1994,-15.181065276372921
F8 R5_CALM_BOOST,conservative (base),1995,118.45592742754111
F8 R5_CALM_BOOST,conservative (base),1996,33.01676836736088
F8 R5_CALM_BOOST,conservative (base),1997,44.7385628160539
F8 R5_CALM_BOOST,conservative (base),1998,57.23337175726185
F8 R5_CALM_BOOST,conservative (base),1999,64.17495080449116
F8 R5_CALM_BOOST,conservative (base),2000,-10.665426667813957
F8 R5_CALM_BOOST,conservative (base),2001,-6.762612687230438
F8 R5_CALM_BOOST,conservative (base),2002,10.389993325640614
F8 R5_CALM_BOOST,conservative (base),2003,84.38649794628779
F8 R5_CALM_BOOST,conservative (base),2004,-0.5100713585813937
F8 R5_CALM_BOOST,conservative (base),2005,-22.50561878275654
F8 R5_CALM_BOOST,conservative (base),2006,39.92833972874565
F8 R5_CALM_BOOST,conservative (base),2007,14.728642166030815
F8 R5_CALM_BOOST,conservative (base),2008,16.292116925165267
F8 R5_CALM_BOOST,conservative (base),2009,46.73429635721108
F8 R5_CALM_BOOST,conservative (base),2010,56.62499709179082
F8 R5_CALM_BOOST,conservative (base),2011,-17.667629539114216
F8 R5_CALM_BOOST,conservative (base),2012,17.643982352876414
F8 R5_CALM_BOOST,conservative (base),2013,19.411479741093597
F8 R5_CALM_BOOST,conservative (base),2014,-1.9442962597016742
F8 R5_CALM_BOOST,conservative (base),2015,-31.866609505731546
F8 R5_CALM_BOOST,conservative (base),2016,-11.805298842297029
F8 R5_CALM_BOOST,conservative (base),2017,63.654010515282756
F8 R5_CALM_BOOST,conservative (base),2018,-12.869770351024412
F8 R5_CALM_BOOST,conservative (base),2019,40.7323227073134
F8 R5_CALM_BOOST,conservative (base),2020,63.7680653723241
F8 R5_CALM_BOOST,conservative (base),2021,17.25394729218257
F8 R5_CALM_BOOST,conservative (base),2022,-22.25138821318919
F8 R5_CALM_BOOST,conservative (base),2023,71.22941055815971
F8 R5_CALM_BOOST,conservative (base),2024,44.06270301968709
F8 R5_CALM_BOOST,conservative (base),2025,31.31253585337147
F8 R5_CALM_BOOST,conservative (base),2026,-9.14074536990698
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1974,15.24524468273417
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1975,-7.534768336685838
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1976,70.1275986458874
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1977,-15.93281655561474
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1978,107.80456759181047
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1979,15.06895585798599
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1980,61.65092499525582
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1981,-33.25792403312142
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1982,75.22073777693947
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1983,4.4622765319434246
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1984,-18.474405262223193
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1985,120.74640841548381
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1986,28.866164514173658
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1987,55.41952334496841
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1988,-26.617302941162606
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1989,42.24785534300516
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1990,-40.330804608388966
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1991,56.673364381993274
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1992,42.61552747891151
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1993,-5.937218683254639
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1994,-12.728538204142618
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1995,121.86575749123143
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1996,37.92737757818808
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1997,46.85661911726838
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1998,64.11224293038337
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),1999,67.63472454623604
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2000,-10.233934412566596
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2001,-6.4704663939382066
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2002,11.023442423737462
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2003,94.33570083138724
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2004,2.5927545495511852
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2005,-19.917393561185428
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2006,41.50397730855672
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2007,15.642311225153351
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2008,16.623406027915028
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2009,44.93762870774722
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2010,67.63116119487663
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2011,-14.69809729807153
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2012,22.3000979740812
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2013,23.203347962798446
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2014,3.6148708373008187
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2015,-29.46334814300266
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2016,-10.56864506637348
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2017,64.53876089989281
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2018,-11.109704765550953
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2019,42.38647668626163
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2020,63.95039207927651
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2021,19.187302583399322
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2022,-22.098684248114527
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2023,74.36068392656287
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2024,46.671380922505705
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2025,35.0868023345984
F7v3+E4 A:tilt=2.0,measured (GMO 2026/4),2026,-7.644017191511962
