year,first,last,pct_change
1996,114.18000030517578,115.9000015258789,1.5063944789857953
1997,115.8499984741211,130.55999755859375,12.697452980768587
1998,130.47999572753906,113.4499969482422,-13.051808198137849
1999,113.45999908447266,102.18000030517578,-9.941828724058732
2000,101.69000244140624,114.37999725341795,12.479097755281977
2001,114.56999969482422,131.6699981689453,14.925371842253398
2002,131.92999267578125,118.6999969482422,-10.028042493757916
2003,118.70999908447266,107.4000015258789,-9.52741777931081
2004,107.3000030517578,102.51000213623048,-4.4641200179805995
2005,102.73999786376952,117.9800033569336,14.833566098932494
2006,117.8000030517578,118.9800033569336,1.0016980259816677
2007,118.87999725341795,111.6500015258789,-6.081759669060871
2008,111.81999969482422,90.6500015258789,-18.93221089851711
2009,90.66699981689452,92.91000366210938,2.4738922096735116
2010,92.91999816894533,81.4800033569336,-12.311660608528808
2011,81.12300109863281,77.65899658203125,-4.270064555907982
2012,77.0199966430664,85.95999908447266,11.607378383612343
2013,86.72000122070312,104.93399810791016,21.003224897163285
2014,105.3000030517578,119.45800018310548,13.445390998126229
2015,119.6729965209961,120.4499969482422,0.6492696346161786
2016,120.28800201416016,116.26699829101562,-3.3428136271406172
2017,116.79499816894533,112.875,-3.356306546000376
2018,112.66600036621094,110.33000183105467,-2.0733837427114765
2019,109.62999725341795,108.8730010986328,-0.6905009338231571
2020,108.68099975585938,103.12100219726562,-5.115887387016782
2021,103.22599792480467,115.06300354003906,11.46707791951509
2022,115.14199829101562,132.91600036621094,15.436593370798036
2023,130.84500122070312,141.42999267578125,8.08971787712689
2024,140.95199584960938,156.9949951171875,11.381888685489372
2025,157.718994140625,156.41299438476562,-0.8280548344703043
2026,156.7310028076172,159.38400268554688,1.6927090559014424
