strategy,verdict,n_windows,mean_CAGR,median_CAGR,std_CAGR,min_CAGR,max_CAGR,P05_CAGR,P25_CAGR,P75_CAGR,P95_CAGR,WFA_CI95_lo,WFA_CI95_hi,t_stat,t_pvalue,mean_Sharpe,std_Sharpe,mean_CAGR_IS,mean_CAGR_postIS,WFA_WFE,n_windows_IS,n_windows_postIS,mean_Trades_yr,crit_alpha,crit_beta,tilt_updates
F10-eps015,PASS,49,0.436212,0.415451,0.546894,-0.459181,1.712801,-0.305217,-0.062286,0.808481,1.418300,0.279126,0.593298,5.583317,0.000001,0.875789,1.147752,0.428913,0.518321,1.208451,45,4,52.086096,True,True,1859
REF-F8R5-eps0,PASS,49,0.436259,0.415451,0.546932,-0.458906,1.712919,-0.305459,-0.061972,0.808481,1.418300,0.279162,0.593357,5.583542,0.000001,0.875953,1.147721,0.428977,0.518187,1.207959,45,4,53.126274,True,True,13169
