combo_name,block_len,seed,n_boot,cagr_median,cagr_p05,cagr_p95,sharpe_median,sharpe_p05,sharpe_p95,maxdd_median,maxdd_p05,maxdd_p95,pct_cagr_above_15,pct_sharpe_above_05,pct_maxdd_above_neg50,delta_sharpe_p05,delta_sharpe_median,pval_delta_sharpe,obs_sharpe_oos,c1_pass,c2_pass,c3_pass,c4_pass,c5_pass,c6_pass,c7_pass,c8_pass,c9_pass,p5_verdict,p4_status,final_verdict
Baseline,21.0,42,2000,0.1621957855058408,-0.03947031077522735,0.39768947955068823,0.6859118908724479,-0.010984382577024056,1.3343757650234762,-0.35907120466862175,-0.5602635186365537,-0.23827644310690999,0.532,0.661,0.8835,,,,0.697,False,True,False,True,True,True,True,False,False,MARGINAL,REJECT,REJECT
P01_Dyn×HY,21.0,42,2000,0.201602997050789,0.01101818998956965,0.41995274600895444,0.8367349841952971,0.17589700681671522,1.453357481023224,-0.29669349947342144,-0.4656141590126925,-0.20404909180528918,0.6525,0.7915,0.9735,-0.033972212238668004,0.15035496215916772,0.0915,0.829,False,True,False,True,True,True,True,False,True,MARGINAL,GRAY,GRAY
P02_Dyn×CPI,21.0,42,2000,0.19625875671925175,0.01303447016470204,0.40763441351174434,0.8411170617563739,0.17601419871557392,1.4422644994384597,-0.2885621467765732,-0.4507887546710008,-0.19774191259723084,0.639,0.795,0.9795,-0.03121754734325187,0.1570922763917857,0.088,0.833,False,True,False,True,True,True,True,False,True,MARGINAL,GRAY,GRAY
P03_Dyn×MA,21.0,42,2000,0.19195019154478166,-9.809618692031998e-05,0.4077684211745113,0.8067279373511725,0.13158193985649386,1.4303890626015208,-0.3035977239389411,-0.4780289371768801,-0.20675687134857473,0.6265,0.769,0.965,-0.04967844285189216,0.12150043404451966,0.133,0.798,False,True,False,True,True,True,True,False,False,MARGINAL,GRAY,GRAY
P05_HY×CPI,21.0,42,2000,0.14901642205847587,-0.0513677198797577,0.3988613810125159,0.6339067944614161,-0.05126016870450203,1.3163297091649697,-0.3726161032803798,-0.5847900549058501,-0.24602669203674152,0.4975,0.628,0.855,-0.11627003736520103,-0.03479733242607727,0.773,0.667,False,False,False,True,False,True,True,False,False,MARGINAL,REJECT,REJECT
P06_HY×MA,21.0,42,2000,0.13949144366597177,-0.06984825799837416,0.39143828659936625,0.5950596394776679,-0.10606657292549895,1.260090890937054,-0.3952494306667966,-0.6124599899539463,-0.25937773090102,0.4715,0.587,0.7985,-0.17412076297804155,-0.07953986622675757,0.95,0.616,False,False,False,True,False,False,True,False,False,FRAGILE,REJECT,REJECT
