cagr_pre,cagr_at,sharpe,maxdd,worst10y,wfe,calmar,candidate,asset
0.09676417981781227,0.07765369973799041,0.8763973908318913,-0.28103357259191497,0.016187994600635136,1.1321244464679896,0.2763146730897888,"SBI-NASDAQ100(1x投信,T+5)",NASDAQ
0.10363944624517463,0.0831941512781742,0.9600711502311547,-0.22235072126190414,0.03782634077347491,1.0626325709085989,0.37415732589498035,TQQQ@1x(T+2),NASDAQ
0.12927275636237412,0.10279071388735694,0.8264192735790094,-0.3307714820234532,0.04727944283177821,1.0266395901560226,0.31076050830787344,TQQQ@1.5x(T+2),NASDAQ
0.15199027830286727,0.11994404437001016,0.759581984042499,-0.4360622612719486,0.04939547847799619,1.0039421294213846,0.27506174008304635,TQQQ@2x(T+2),NASDAQ
0.17155525580624698,0.1343856577870357,0.7194772357683559,-0.5279147141169117,0.0405416956735376,0.9883148037974623,0.25455940930124316,TQQQ@2.5x(T+2),NASDAQ
0.18774709373893983,0.1460479386836553,0.6927400387241157,-0.607770702975962,0.024471431057340842,0.9768977144139098,0.24030105098605195,TQQQ@3x(T+2),NASDAQ
0.06815941076910348,0.054809185869795884,1.0525743629784865,-0.2098126288051032,-0.01571819843252531,0.8738961289430263,0.26122920332268756,"SBI-GOLD(1x投信,T+5)",Gold
0.06675356490496154,0.05347601843094618,1.0582030890360157,-0.2657365252074335,-0.023930556937251324,0.8682630260470194,0.20123698986882924,2036@1x(T+2),Gold
0.07638915312021943,0.06064163759658747,0.8272629533175082,-0.398296788619354,-0.04023834162117712,0.9048098145294001,0.15225238899563845,2036@1.5x(T+2),Gold
0.08503741236555484,0.06697637000663192,0.7116809626078151,-0.5135126301346981,-0.057281952546873516,0.8885224369316043,0.1304278922780605,2036@2x(T+2),Gold
0.038049729276983246,0.030505306407221378,1.5077253738838454,-0.08109872202060286,0.00014287871175477918,0.4629027995837626,0.3761502727437752,"2255(1x投信,T+5)",Bond
0.040577080660052056,0.032633951661229066,1.6377034865554942,-0.07756888891469393,-0.0008594881482629768,0.48176454878041813,0.42070928329420987,TMF@1x(T+2),Bond
0.038318416065079575,0.02997800904239112,1.044765987253462,-0.11484587195418872,-0.004350964067358909,0.7223617082557545,0.26102818092015667,TMF@1.5x(T+2),Bond
0.0359105783557474,0.027137720893653405,0.747180494135166,-0.1606448971708575,-0.00843948297583641,0.7344199470962575,0.1689298656327096,TMF@2x(T+2),Bond
0.03335456749316945,0.024174697509532495,0.5683817397784906,-0.21861027693622692,-0.013057923169053853,0.643183844106963,0.11058353636588067,TMF@2.5x(T+2),Bond
0.03065143548006266,0.02108991706936636,0.44910515349672286,-0.27297828825935233,-0.017736269298818552,0.8108896175787141,0.07725858786735876,TMF@3x(T+2),Bond
