spread_label,cfd_spread_pct,strategy,vz_thr,l_max,CAGR_OOS,CAGR_IS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
Backtest前提 (0.20%/yr),0.2,E4 / vz=0.70 / lmax=7.0 [現行ベスト],0.7,7.0,0.3353012591166482,0.31717470165594985,0.8914586841140723,-0.6001023848815076,0.18667898990115295,0.09782974978436894,-0.018126557460698356,27.115498519249755
Backtest前提 (0.20%/yr),0.2,D5 vz=0.65 / lmax=5.0 [MaxDD最良候補],0.65,5.0,0.3348707930447399,0.29575357200883623,0.9493196385126569,-0.5181849703181018,0.1832648975277822,0.11867000388796023,-0.03911722103590365,27.115498519249755
Backtest前提 (0.20%/yr),0.2,D5 vz=0.65 / lmax=5.5,0.65,5.5,0.3461622644090434,0.3047882907546302,0.9448384784130864,-0.5342546450644414,0.1883205544802189,0.11498070048718553,-0.0413739736544132,27.115498519249755
Backtest前提 (0.20%/yr),0.2,D5 vz=0.65 / lmax=6.0,0.65,6.0,0.35302174066390823,0.31105047465892466,0.9391254393689783,-0.5490401386501714,0.19543206638516564,0.10896586251814604,-0.041971266004983576,27.115498519249755
Backtest前提 (0.20%/yr),0.2,D5 vz=0.65 / lmax=7.0,0.65,7.0,0.3698847446510547,0.31766484155189745,0.9452371385925034,-0.5867581631273668,0.18735002992823913,0.09161455449560876,-0.05221990309915725,27.115498519249755
Backtest前提 (0.20%/yr),0.2,D5 vz=0.60 / lmax=4.5 [MaxDD最良],0.6,4.5,0.2893899649647107,0.28787670490030903,0.8847915944594645,-0.4917055332175988,0.1811236874873583,0.11789205776823497,-0.001513260064401667,27.115498519249755
Backtest前提 (0.20%/yr),0.2,D5 vz=0.60 / lmax=5.0,0.6,5.0,0.3128481029267809,0.3000053239630476,0.9003976008610253,-0.5105801394722278,0.18801362042074587,0.11881965167923537,-0.012842778963733315,27.115498519249755
SBI CFD NQ100 (3.0%/yr),3.0,E4 / vz=0.70 / lmax=7.0 [現行ベスト],0.7,7.0,0.27707797445320304,0.25298122187718963,0.787589211161665,-0.6200941483383788,0.125083128312097,0.03336679747518744,-0.024096752576013403,27.115498519249755
SBI CFD NQ100 (3.0%/yr),3.0,D5 vz=0.65 / lmax=5.0 [MaxDD最良候補],0.65,5.0,0.2849367602424673,0.24848075326191732,0.84947008173242,-0.5299472768477755,0.13977993168950364,0.06962280193789452,-0.03645600698054996,27.115498519249755
SBI CFD NQ100 (3.0%/yr),3.0,D5 vz=0.65 / lmax=5.5,0.65,5.5,0.29250380547719246,0.25251661935369474,0.8432589680873254,-0.5533834039958854,0.13989423204898332,0.061417494985551976,-0.03998718612349772,27.115498519249755
SBI CFD NQ100 (3.0%/yr),3.0,D5 vz=0.65 / lmax=6.0,0.65,6.0,0.29661189663467935,0.2542318078608603,0.8364228316342895,-0.5762489349682387,0.14139869929255444,0.051443272218635754,-0.04238008877381905,27.115498519249755
SBI CFD NQ100 (3.0%/yr),3.0,D5 vz=0.65 / lmax=7.0,0.65,7.0,0.30957048124931585,0.2532325776858968,0.8415504696442363,-0.6196916350107624,0.12518663227183557,0.02658155930201955,-0.056337903563419056,27.115498519249755
SBI CFD NQ100 (3.0%/yr),3.0,D5 vz=0.60 / lmax=4.5 [MaxDD最良],0.6,4.5,0.24495140685177064,0.245666750340642,0.7878996122589258,-0.5029384941192523,0.14252349166584755,0.07336249149206689,0.0007153434888713672,27.115498519249755
SBI CFD NQ100 (3.0%/yr),3.0,D5 vz=0.60 / lmax=5.0,0.6,5.0,0.2633493981871058,0.25238640640161547,0.800787413515331,-0.522792537809806,0.1442494999599393,0.0691748934555091,-0.010962991785490317,27.115498519249755
GMO/IG CFD (2.5%/yr),2.5,E4 / vz=0.70 / lmax=7.0 [現行ベスト],0.7,7.0,0.28728696403105136,0.2642121272665272,0.806145659097941,-0.6135785797313601,0.13584471389763664,0.04490896217931927,-0.023074836764524154,27.115498519249755
GMO/IG CFD (2.5%/yr),2.5,D5 vz=0.65 / lmax=5.0 [MaxDD最良候補],0.65,5.0,0.2937154861857585,0.2567948960498154,0.867308402660411,-0.5278680079795024,0.1474269692838457,0.0782833109415492,-0.036920590135943065,27.115498519249755
GMO/IG CFD (2.5%/yr),2.5,D5 vz=0.65 / lmax=5.5,0.65,5.5,0.30192744532484306,0.2616959096782874,0.8614063985038177,-0.5480789286633461,0.14839567855364733,0.07102292819239789,-0.04023153564655568,27.115498519249755
GMO/IG CFD (2.5%/yr),2.5,D5 vz=0.65 / lmax=6.0,0.65,6.0,0.3065109917581721,0.26419558531703946,0.8547710373034545,-0.5700716182988007,0.15121934938178216,0.061795768435596435,-0.04231540644113263,27.115498519249755
GMO/IG CFD (2.5%/yr),2.5,D5 vz=0.65 / lmax=7.0,0.65,7.0,0.32014416653772537,0.2645044630994755,0.8600752399186979,-0.6131717850621698,0.13604524748390245,0.03770218093484163,-0.055639703438249866,27.115498519249755
GMO/IG CFD (2.5%/yr),2.5,D5 vz=0.60 / lmax=4.5 [MaxDD最良],0.6,4.5,0.25277377382472754,0.253102165623619,0.8052083237643033,-0.5009508704961319,0.14932327676562096,0.08103012536824213,0.00032839179889143644,27.115498519249755
GMO/IG CFD (2.5%/yr),2.5,D5 vz=0.60 / lmax=5.0,0.6,5.0,0.27205048876194615,0.26076089480432496,0.8185822825860418,-0.5206341944673473,0.15194533911827635,0.07772979816122123,-0.011289593957621191,27.115498519249755
