Strategy,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,WF7_avg,WF7_1,WF7_2,WF7_3,WF7_4,WF7_5,WF7_6,WF7_7,corr_coeff,macd_coeff,volz_coeff
Baseline (G0.5 fixed),0.31400363648805163,1.055238826890283,-0.33392777160171494,0.05161651639562903,0.14934440139777982,0.8461538461538461,0.2215415718748417,0.6403261117258615,-0.3273519535251955,1.1173447329311759,1.3384526835955637,1.7780745296503557,0.8223603323185411,1.2273931411145678,0.6332924679661461,1.0036918765397138,1.0181480993333434,,,
MA5 only (cc=0.2),0.3113336176417274,1.048497248837378,-0.3461879010654446,0.05528168825150126,0.15057811271796462,0.8269230769230769,0.22049080927623965,0.6382951391727771,-0.3274675794894194,1.1153657309528386,1.3010407156721202,1.7659568100733725,0.8230077691858725,1.2435754036734812,0.6489783638421676,1.0027286275924772,1.0222724266303793,0.2,,
"MA5+MACD (cc=0.12,mc=3.0)",0.31245465890399093,1.0524004411073262,-0.3456289039195978,0.053911389752741457,0.14966689755167195,0.8269230769230769,0.221380546736218,0.6405827689418508,-0.32818075982476325,1.1168360211434412,1.3165862485119582,1.7706460501116905,0.8239596696026344,1.239205346155824,0.6451994992731107,1.0015202306437443,1.0207351037051258,0.12,3.0,
"Full (cc=0.12,mc=5.0,vc=0.03)",0.3104581726501747,1.0408119615945062,-0.3671359472329043,0.052258309947761594,0.14825248890529563,0.8269230769230769,0.2185684442106257,0.6311214966574786,-0.3183993175679207,1.1105854223667078,1.3134429959649934,1.778706463923371,0.8304088318061891,1.1980363946850796,0.6356579665327867,0.9980188268378236,1.0198264768167113,0.12,5.0,0.03
