signal,cand_cagr_oos,cand_is_oos_gap,cand_sharpe_oos,cand_maxdd,cand_worst10y,cand_p10_5y,cand_trades_yr,cand_wfe,cand_ci95_lo,base_cagr_oos,judgment,n_improved,hypothesis
ALL_CASH,0.035299144349235645,0.010319084480939544,29.34293859251569,-3.571425421955432e-06,0.0030469944049080766,0.0026796367831110057,125.29859509331096,9.439130887984975,135.96803816830655,-0.011367475550389972,STRONG_PASS,6,baseline: always in T-bill cash
bond_mom252,0.021557156254083942,0.032311659711516505,0.5964227782155898,-0.14985311048600558,0.00915222233067814,0.011697831309838458,57.479581673306775,19.586519841778447,3.158320928412275,-0.011367475550389972,STRONG_PASS,5,momentum: hold when 12m return > 0
fed_easy,0.01840984308898075,0.0062121648164013,0.3639570726637141,-0.28698063423086473,-0.006283347400815931,0.000368428141783061,73.04617058083456,46.26165360851067,-10.94004820366974,-0.011367475550389972,STRONG_PASS,6,hold when DFF-10y z <= 0 (easy/inverted)
bond_ma100,0.018082229960869833,0.030708179200796826,0.3839072872846393,-0.16878255407116327,0.008490850827084007,0.012745756607343273,63.89385877542462,1.0551151168703012,0.5245516538085262,-0.011367475550389972,STRONG_PASS,5,trend: hold when price > 100d MA
credit_spread_hi,0.0038705182855325315,0.04304213685038505,0.10319805866365951,-0.2319315022429207,-0.0004541135568932875,0.009083082901641459,86.56402023485008,64.47982219498408,12.600179821928023,-0.011367475550389972,STRONG_PASS,5,flight-to-quality: hold when BAA-AAA z >= 0.5
termprem_lo,0.00039239608337338083,0.031777967665351126,0.0368010445444345,-0.31739722903968826,-0.00952654612736481,-0.002448349788428872,74.80770339693856,34.74750399709108,2.9148330983208766,-0.011367475550389972,STRONG_PASS,5,hold when 30y-10y term premium z <= 0
bond_mom126,-0.0019250469237201973,0.05295853116461191,-0.01808935132949635,-0.18310313664935207,0.005459609457308279,0.011869025221856289,58.81987838121199,3.6389482884522213,-1.2410211541780232,-0.011367475550389972,MARGINAL,5,momentum: hold when 6m return > 0
bond_ma200,-0.008292322608088876,0.05650848144173359,-0.14496265330124802,-0.1385775304568304,0.0018797130807575169,0.0068920596449708596,58.30290679387713,3.7508385764522916,-1.3056087608827815,-0.011367475550389972,MARGINAL,3,trend: hold when price > 200d MA
BUY_AND_HOLD,-0.011367475550389972,0.02831486226991886,-0.10902770389960792,-0.5005409206645788,-0.04750516534091298,-0.03201730552023374,0.019147095827217447,1.119200067565991,-0.11829700364185089,-0.011367475550389972,FAIL,0,baseline: always invested
