Strategy,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,Trades,OOS_CAGR,OOS_Sharpe
Buy & Hold 1x,0.10979508229521051,0.610515828588509,-0.7793238629207799,-0.16769661202864572,-0.07266147929895594,0.75,0,0.09515279442465685,0.5240908122786426
Buy & Hold 3x,0.19210579330543043,0.5965469988199066,-0.9988956595737675,-0.6005570478057636,-0.3997636579851094,0.7307692307692307,0,0.11889847645474139,0.5113557611541671
DD(-18/92) Only,0.25581389609442806,0.7480877315178313,-0.7288015011412328,-0.1496693617629602,0.03163134443343596,0.6538461538461539,34,0.14979447728025685,0.5446504786135785
Ens2(Asym+Slope),0.22200596266834394,0.8458347863837404,-0.48994691968476756,-0.003846987522592382,0.09838952840558846,0.7307692307692307,34,0.10519336024017822,0.47911503609559863
A2 Optimized,0.2918733224038308,1.0510019650176061,-0.4251739465100651,0.008813781288038669,0.11971343398272816,0.7115384615384616,34,0.21111216690953527,0.7643588184222956
Dyn-Hybrid Static (35/30/35) *,0.16070057432006246,1.3246842812061603,-0.20285721755665698,0.029583841118855814,0.0746661600721723,0.8076923076923077,N/A,0.14102104576243546,1.0583860822068385
Dyn-Hybrid Dynamic (0.40/0.15/0.05) *,0.20446865249865787,1.2802030990239588,-0.21773573139260494,0.03451009704929486,0.10601804789039004,0.8269230769230769,N/A,0.1810600847500008,1.0145976604174052
