wg_frac,L_g,wn_cap,bond_drag,CAGR_FULL,CAGR_IS,CAGR_OOS,Sharpe_FULL,Sharpe_IS,Sharpe_OOS,MaxDD_FULL,Worst5Y,IS_OOS_Gap,pass_all,pass_core
0.800000,5.000000,0.700000,True,0.211553,0.196832,0.368782,0.773207,0.745821,1.010487,-0.830274,-0.205437,17.195011,False,False
0.800000,4.000000,0.700000,False,0.215097,0.204641,0.325971,0.844921,0.827763,1.006731,-0.763319,-0.135474,12.133034,False,False
0.850000,3.000000,0.700000,False,0.210388,0.202619,0.292909,0.892149,0.881281,1.006347,-0.689899,-0.078690,9.029056,False,False
0.850000,5.000000,0.850000,True,0.222169,0.207656,0.376819,0.779768,0.753930,1.005321,-0.844679,-0.207671,16.916288,False,False
0.850000,5.000000,1.000000,True,0.222169,0.207656,0.376819,0.779768,0.753930,1.005321,-0.844679,-0.207671,16.916288,False,False
0.900000,3.000000,1.000000,False,0.222281,0.214364,0.306218,0.893619,0.883080,1.003700,-0.708516,-0.077477,9.185410,False,False
0.900000,3.000000,0.850000,False,0.222281,0.214364,0.306218,0.893619,0.883080,1.003700,-0.708516,-0.077477,9.185410,False,False
0.850000,4.000000,1.000000,False,0.225871,0.215390,0.336829,0.847177,0.830650,1.002927,-0.780629,-0.136856,12.143888,False,False
0.850000,4.000000,0.850000,False,0.225871,0.215390,0.336829,0.847177,0.830650,1.002927,-0.780629,-0.136856,12.143888,False,False
0.900000,3.000000,0.850000,True,0.220112,0.212199,0.303996,0.886875,0.876150,0.998312,-0.709489,-0.079204,9.179719,False,False
0.900000,3.000000,1.000000,True,0.220112,0.212199,0.303996,0.886875,0.876150,0.998312,-0.709489,-0.079204,9.179719,False,False
0.850000,3.000000,0.700000,True,0.206900,0.199144,0.289282,0.880548,0.869367,0.996986,-0.691474,-0.081376,9.013765,False,False
0.850000,4.000000,1.000000,True,0.222608,0.212141,0.333420,0.837991,0.821198,0.995653,-0.781728,-0.139280,12.127846,False,False
0.850000,4.000000,0.850000,True,0.222608,0.212141,0.333420,0.837991,0.821198,0.995653,-0.781728,-0.139280,12.127846,False,False
0.800000,4.000000,0.700000,True,0.210431,0.200003,0.321014,0.830962,0.813398,0.995611,-0.764924,-0.138833,12.101108,False,False
0.800000,5.000000,0.850000,False,0.227496,0.215058,0.359487,0.807444,0.787035,0.991909,-0.828289,-0.184755,14.442920,False,False
0.800000,5.000000,1.000000,False,0.227496,0.215058,0.359487,0.807444,0.787035,0.991909,-0.828289,-0.184755,14.442920,False,False
0.800000,5.000000,0.850000,True,0.223141,0.210729,0.354867,0.796189,0.775441,0.983053,-0.829436,-0.187806,14.413738,False,False
0.800000,5.000000,1.000000,True,0.223141,0.210729,0.354867,0.796189,0.775441,0.983053,-0.829436,-0.187806,14.413738,False,False
0.800000,4.000000,0.850000,False,0.227229,0.218666,0.317979,0.864080,0.853008,0.977741,-0.763534,-0.118772,9.931337,False,False
0.800000,4.000000,1.000000,False,0.227229,0.218666,0.317979,0.864080,0.853008,0.977741,-0.763534,-0.118772,9.931337,False,False
0.850000,3.000000,1.000000,False,0.223402,0.217179,0.289870,0.907281,0.902145,0.975066,-0.692004,-0.065786,7.269035,False,False
0.850000,3.000000,0.850000,False,0.223402,0.217179,0.289870,0.907281,0.902145,0.975066,-0.692004,-0.065786,7.269035,False,False
0.800000,3.000000,0.700000,False,0.211236,0.205293,0.274942,0.906233,0.901491,0.972678,-0.672459,-0.065234,6.964947,False,False
0.800000,4.000000,1.000000,True,0.222875,0.214325,0.313500,0.851547,0.840115,0.967801,-0.765111,-0.122070,9.917483,False,False
0.800000,4.000000,0.850000,True,0.222875,0.214325,0.313500,0.851547,0.840115,0.967801,-0.765111,-0.122070,9.917483,False,False
0.850000,3.000000,1.000000,True,0.220146,0.213926,0.286580,0.897002,0.891585,0.966843,-0.693545,-0.068494,7.265392,False,False
0.850000,3.000000,0.850000,True,0.220146,0.213926,0.286580,0.897002,0.891585,0.966843,-0.693545,-0.068494,7.265392,False,False
0.800000,3.000000,0.700000,True,0.206584,0.200652,0.270175,0.890495,0.885334,0.959951,-0.674679,-0.069111,6.952274,False,False
0.800000,3.000000,1.000000,False,0.224386,0.219869,0.273527,0.920045,0.920466,0.944156,-0.674622,-0.055064,5.365871,False,False
0.800000,3.000000,0.850000,False,0.224386,0.219869,0.273527,0.920045,0.920466,0.944156,-0.674622,-0.055064,5.365871,False,False
0.800000,3.000000,1.000000,True,0.220043,0.215523,0.269198,0.906137,0.906180,0.933014,-0.676791,-0.058714,5.367486,False,False
0.800000,3.000000,0.850000,True,0.220043,0.215523,0.269198,0.906137,0.906180,0.933014,-0.676791,-0.058714,5.367486,False,False
