split_label,is_end_eff,oos_start_eff,n_days_IS,n_days_OOS,CAGR_IS,CAGR_OOS,Sharpe_IS,Sharpe_OOS,MaxDD_FULL,IS_OOS_gap,Worst5Y_FULL,Worst10Y_star_FULL,P10_5Y_FULL,Trades_yr
2018,2017-12-29,2018-01-02,11100,2069,0.304738,0.347860,0.939917,0.937877,-0.594515,-0.043122,-0.028273,0.180972,0.093564,27.115499
2019,2018-12-31,2019-01-02,11351,1818,0.298159,0.409033,0.923716,1.041815,-0.594515,-0.110875,-0.028273,0.180972,0.093564,27.115499
2020,2019-12-31,2020-01-02,11603,1566,0.304539,0.365408,0.933908,0.973671,-0.594515,-0.060869,-0.028273,0.180972,0.093564,27.115499
2021-05 (REF),2021-05-07,2021-05-10,11943,1226,0.313338,0.311578,0.953169,0.857711,-0.594515,0.001760,-0.028273,0.180972,0.093564,27.115499
2022,2021-12-31,2022-01-03,12108,1061,0.315277,0.290278,0.960081,0.798018,-0.594515,0.024999,-0.028273,0.180972,0.093564,27.115499
