indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset,BH_pval,FDR_sig
TF2_PvMA_50,5,0.0058567025797408,0.5058159044421678,0.0058567025797408,0.5229315153393245,0.5166537567776918,0.0019704530009205,1.0764729902219703,-0.0373388798069409,1,-0.0035904380554564,-0.0863868383706442,-0.1202795556903764,-0.0649319119388354,-0.0258993690675296,-0.0059087244366498,0.0456246789109054,Gold,1.0,0.0
TF2_PvMA_50,21,-0.0153903216815198,0.0805568415360572,0.0153903216815198,0.5089978281104561,0.5028695517294866,0.0012569797433298,0.3320780924642699,-0.0893600031141819,6,-0.0890642898926956,-0.1550442133342457,-0.2210934320877413,-0.1913930503614192,-0.0336636724308733,-0.0095565940870353,0.0742952303947368,Gold,1.0,0.0
TF2_PvMA_50,63,0.0397893733973259,6.423104698044671e-06,0.0397893733973259,0.5473929961089494,0.4919078742608154,0.0217935671376039,3.2435769521513613,-0.0882897551648312,2,-0.3103832538543418,-0.1176428824551332,-0.1835314928056649,-0.0357048299860055,0.0004995167289793,-0.0512108374043586,0.0799454936227064,Gold,0.00028261660671396555,1.0
TF2_PvMA_100,5,0.0166671984429501,0.0582730446348625,0.0166671984429501,0.5255655407499226,0.5140201394268009,0.0033819887985516,1.8272585581518077,-0.0404955200514804,1,-0.0738782638719288,-0.0583323334808413,-0.1039253806777441,-0.0305897139814919,-0.0345249556645939,-0.0297441697915486,0.0475261771077857,Gold,1.0,1.0
TF2_PvMA_100,21,0.0182356591789251,0.0383978648295832,0.0182356591789251,0.5138070121005275,0.4980611136962928,0.0131677355629507,3.3411630810893054,-0.0997436065014625,1,-0.2401195137028642,-0.1594932253600648,-0.1792256781971728,-0.1215922712815671,-0.0369494434203891,-0.0641322303527939,0.1033071168046143,Gold,0.9983444855691631,1.0
TF2_PvMA_100,63,0.1059791515693335,2.0161567354467547e-33,0.1059791515693335,0.5710505836575875,0.4682539682539682,0.0618756195820547,8.578357628521617,-0.0747042242253381,2,-0.4784210981213617,-0.1485479556812643,-0.1176820165638163,-0.0271709405055197,0.0783110197929145,-0.0223628358226295,0.1929442573243098,Gold,1.5927638210029361e-31,1.0
TF2_PvMA_150,5,0.0354468122184944,5.619023777518855e-05,0.0354468122184944,0.5294391075302138,0.5101471727343145,0.0043808581266696,2.3754970608434727,-0.038480412807624,1,-0.129916513461707,-0.0520355797548978,-0.0980677658732047,-0.0304191049824248,-0.0043985801621589,-0.0120810332831668,0.0575556878641916,Gold,0.003371414266511313,1.0
TF2_PvMA_150,21,0.0550553865652,3.9616442853934425e-10,0.0550553865652,0.5318026683214396,0.4800682487978905,0.0218034845786321,5.504930422348176,-0.0910514059314225,2,-0.2926109435588108,-0.1417843645529213,-0.1946920797723627,-0.1421993428674735,0.0467215602235453,-0.0480508820595426,0.1352562110676079,Gold,2.4958358997978688e-08,1.0
TF2_PvMA_150,63,0.1517604165001698,4.501631155834535e-67,0.1517604165001698,0.5891050583657588,0.4502023031434796,0.0847623323192413,11.877975161621306,-0.0619022850177697,2,-0.5054479665336972,-0.0730210282559267,-0.164697753988076,-0.1061410760985586,0.1872777439500905,-0.0202070238204809,0.2489211096222607,Gold,3.826386482459355e-65,1.0
TF2_PvMA_200,5,0.0477104242883434,5.850346484738267e-08,0.0477104242883434,0.5387356678029129,0.500852052672347,0.0057310301072807,3.0558584168572858,-0.0348576516979987,2,-0.1349289569839604,-0.0381157985477186,-0.0972652025969745,-0.0363754952326826,0.014879896499784,-0.0089044926017502,0.0567064875773112,Gold,4.036739074469404e-06,1.0
