config_id,threshold,bull_days,bull_ratio,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
REF,,9565,0.726327,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
T005,0.050000,10148,0.770598,0.318048,0.363650,0.926597,-0.613569,0.179368,0.097924,-0.045602,177.963399
T010,0.100000,9858,0.748576,0.319113,0.363773,0.926903,-0.615934,0.182196,0.100324,-0.044660,178.633154
T015,0.150000,9565,0.726327,0.320012,0.365182,0.929319,-0.620361,0.181124,0.097552,-0.045170,179.188093
T020,0.200000,9243,0.701876,0.319836,0.364408,0.928139,-0.617649,0.182063,0.098346,-0.044571,179.054142
T025,0.250000,8923,0.677576,0.320255,0.358799,0.918924,-0.617573,0.180750,0.098336,-0.038545,179.130686
T030,0.300000,8579,0.651454,0.322691,0.353584,0.910269,-0.606747,0.185202,0.101032,-0.030893,179.035006
T040,0.400000,7841,0.595413,0.324146,0.351968,0.908057,-0.606394,0.183688,0.105694,-0.027822,178.805376
