signal,cand_cagr_full,cand_sharpe_full,cand_cagr_oos,cand_is_oos_gap,cand_sharpe_oos,cand_maxdd,cand_worst10y,cand_p10_5y,cand_trades_yr,cand_wfe,cand_ci95_lo,base_cagr_oos,judgment,n_improved
2L:mom252+VZ,0.051192062165434704,1.0101006396890664,0.022985293144949903,0.03116487289122305,0.6523519422281313,-0.14985311048600525,0.0136413821144723,0.011900675568591979,72.47175770601804,17.17980175935782,3.3269646048708896,-0.011367475550389972,STRONG_PASS,5
1L:mom252,0.050800670858165864,0.8780776812689443,0.021557156254083942,0.032311659711516505,0.5964227782155898,-0.14985311048600558,0.00915222233067814,0.011697831309838458,57.479581673306775,19.586519841778447,3.158320928412275,-0.011367475550389972,STRONG_PASS,5
3L:mom252+VT+VZ,0.0495599501238857,1.1463350192984216,0.02449243528688716,0.027692758738607992,0.7182030686238552,-0.10912973345572285,0.013607192539767166,0.01348967671441934,90.96785227511009,15.42407304171455,3.6721327087634386,-0.011367475550389972,STRONG_PASS,5
2L:mom252+VT,0.04823139104141716,1.0178980200707284,0.023028632418298445,0.027842112632041394,0.6624756607608848,-0.11165947272745202,0.014494146822124465,0.013008072662369497,88.51702400922626,17.242621798419947,3.5304000975281866,-0.011367475550389972,STRONG_PASS,5
1L:mom126,0.04596423346790357,0.7584569444862596,-0.0019250469237201973,0.05295853116461191,-0.01808935132949635,-0.18310313664935207,0.005459609457308279,0.011869025221856289,58.81987838121199,3.6389482884522213,-1.2410211541780232,-0.011367475550389972,MARGINAL,5
3L:mom252+VZ+MACRO,0.04485712226212302,1.1759055224765473,0.031023859856366354,0.015276475793595035,1.0507009198368016,-0.137494873373329,0.006230252925366386,0.01112135672339285,105.34732124135039,47.6139140813507,18.588106819715847,-0.011367475550389972,STRONG_PASS,6
ALL_CASH,0.04464315409458619,20.252052760457428,0.035299144349235645,0.010319084480939544,29.34293859251569,-3.571425421955432e-06,0.0030469944049080766,0.0026796367831110057,125.29859509331096,9.439130887984975,135.96803816830655,-0.011367475550389972,STRONG_PASS,6
5L:mom252+VT+VZ+MACRO+DB,0.043852055330645845,1.4326401698529216,0.031178453406308204,0.01399550720095144,1.0806628012796131,-0.08899546928845647,0.006263742610212786,0.0115501931019915,117.46743289997903,39.42584514256186,19.12699682229176,-0.011367475550389972,STRONG_PASS,6
4L:mom252+VT+VZ+MACRO,0.04353308285563373,1.4227704237898404,0.03127054146052677,0.01354148883225137,1.0787916464936187,-0.08966626762369989,0.0061510205217896186,0.011395105543765905,114.92086915495912,39.671314044469476,19.083954596176987,-0.011367475550389972,STRONG_PASS,6
1L:donch100_50,0.043142396826167495,0.8189480588454504,0.008221540431895935,0.03859320748423989,0.24306440786111871,-0.16724860440154599,0.010400592509308026,0.014146754208211253,73.25678863493395,4.033095751653022,-0.7508452315580976,-0.011367475550389972,STRONG_PASS,5
1L:ma200,0.042799100031829074,0.7191746906918259,-0.008292322608088876,0.05650848144173359,-0.14496265330124802,-0.1385775304568304,0.0018797130807575169,0.0068920596449708596,58.30290679387713,3.7508385764522916,-1.3056087608827815,-0.011367475550389972,MARGINAL,3
2L:mom252+MACRO,0.04203620879512471,0.9656181101796173,0.029584500738018438,0.013750138116807475,0.962021117180157,-0.13721008135676305,0.00539039591776902,0.007802469695853897,98.7607202767876,57.697914800074166,18.28246117035539,-0.011367475550389972,STRONG_PASS,6
3L:mom252+VT+MACRO,0.04080934712313722,1.2191216554602902,0.02979705398039889,0.012160391790072334,0.998026149713174,-0.0950894838427242,0.004121411016096976,0.009332656986371778,114.51878014258754,46.08716038024303,18.798417426252335,-0.011367475550389972,STRONG_PASS,6
1L:dualma50_200,0.03566215577962506,0.6104594034430391,0.0071548679153119465,0.03149516024194576,0.17944077912354273,-0.22156849373356136,-0.00607427015016393,-0.000514468479347863,53.899074753617114,5.053204594123417,-0.9850630483208134,-0.011367475550389972,STRONG_PASS,5
