Strategy,CAGR,Worst5Y,Sharpe,Sortino,Calmar,MaxDD,Trades,WinRate
DD(-15/90)+Regime(MA200)+VT(30%),0.3153347345542792,-0.09088999394738306,0.9337659146309731,1.154827645818443,0.5641444294415141,-0.5589610002290566,215,0.6808510638297872
DD(-18/92)+Regime(MA200)+VT(25%),0.3078098534314522,-0.08461136736671093,0.9329981985366099,1.1552822287937088,0.5843694514508558,-0.5267384403261167,213,0.7021276595744681
DD(-18/92)+Regime(MA150)+VT(30%),0.3041397087833182,-0.1396309029791496,0.9295525235525783,1.1518739927697499,0.461981033672211,-0.6583380845004866,289,0.6808510638297872
DD(-18/92)+Regime(MA200)+VT(30%),0.3088049026028781,-0.0886196962189656,0.9220598001333643,1.1408261559453754,0.5684475176710505,-0.5432425914498891,213,0.6808510638297872
DD(-20/92)+Regime(MA200)+VT(30%),0.3054107222421052,-0.09088999394738273,0.9144137608494691,1.1302426850763,0.5621995164756469,-0.5432425914498893,215,0.6808510638297872
DD(-18/92)+Regime(MA200)+VT(35%),0.30720174288903257,-0.08988670101805973,0.9126092044935742,1.1267911833356319,0.5531358053186045,-0.5553821320825277,213,0.6808510638297872
DD(-18/92)+Regime(MA250)+VT(30%),0.30248025650882604,-0.0718932463967179,0.8946145576900437,1.0996424937577434,0.5044842302976859,-0.5995831749395588,173,0.6595744680851063
DD(-18/92)+VT(25%) [Baseline],0.29754343040424347,-0.08175498605909692,0.8558156803151625,1.0451235108687853,0.47861387444199854,-0.6216774027939336,30,0.6808510638297872
DD(-18/92)+VT(30%),0.29838065345704234,-0.0839432708527349,0.8464990511290944,1.0327623134869581,0.47996059067944896,-0.6216774027939341,30,0.6808510638297872
