Strategy,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,OOS_CAGR,OOS_Sharpe,Base,LevC,VixC
D-B0.5/L0.25/V0.05,0.2517973230836379,1.210505118385414,-0.28256394481118874,0.037967015013371075,0.11738333175030613,0.8076923076923077,0.1922190623280473,0.8726105651404157,0.5,0.25,0.05
D-B0.5/L0.25/V0.1,0.2522535076584631,1.2254811774845298,-0.26451514348900085,0.040978929870846725,0.12354283152775136,0.8269230769230769,0.1965007792178175,0.8903306767951115,0.5,0.25,0.1
D-B0.5/L0.3/V0.05,0.2638178072197892,1.2003268283989992,-0.3041704091577515,0.03912554839585325,0.12050183259358072,0.8461538461538461,0.19479098258913496,0.8467907766729819,0.5,0.3,0.05
D-B0.5/L0.3/V0.1,0.2644319400322912,1.2157356326058586,-0.29106645080860916,0.0388013293266849,0.12547131525483435,0.8269230769230769,0.20077923334991166,0.8701818506414715,0.5,0.3,0.1
D-B0.5/L0.35/V0.05,0.27434145814496014,1.1858404295133955,-0.3209870453306817,0.036979593157010715,0.12337281269658007,0.8269230769230769,0.19507991129786717,0.8177911257468596,0.5,0.35,0.05
D-B0.5/L0.35/V0.1,0.27551896939804266,1.2032931135748275,-0.30862217845570294,0.0389537932287094,0.12821228881080082,0.8269230769230769,0.1976604704620788,0.8297234546987345,0.5,0.35,0.1
D-B0.5/L0.4/V0.05,0.2872162891844854,1.1813934189926338,-0.3419950545117908,0.0377942486450924,0.12538868220684263,0.8269230769230769,0.19826885776739767,0.8001491883988563,0.5,0.4,0.05
D-B0.5/L0.4/V0.1,0.28789304064181076,1.19531225085833,-0.3280398413509368,0.03976091017013639,0.1312814114659011,0.8269230769230769,0.2013613968321304,0.8125363323522263,0.5,0.4,0.1
D-B0.5/L0.45/V0.05,0.2916979008050842,1.1792348980601217,-0.340373598178245,0.03947539153488666,0.12530734346891492,0.8269230769230769,0.20334129832386694,0.8070308823084306,0.5,0.45,0.05
D-B0.5/L0.45/V0.1,0.29350408739326395,1.1932471404783545,-0.32916762008815126,0.0418574787026309,0.13242501028136267,0.8269230769230769,0.20579310247350224,0.8174110920283765,0.5,0.45,0.1
D-B0.55/L0.25/V0.05,0.26286937972116453,1.191526474968222,-0.3065261559715179,0.04060637741398443,0.11931085618733372,0.7884615384615384,0.19664812950200283,0.8514848469496806,0.55,0.25,0.05
D-B0.55/L0.25/V0.1,0.26415809079709995,1.2092185929118704,-0.29101596107729744,0.04406832756175749,0.12564797097191738,0.8076923076923077,0.2029316512529764,0.874742095143366,0.55,0.25,0.1
D-B0.55/L0.3/V0.05,0.27364862909903587,1.1778059551006779,-0.3270908665084403,0.04025543714475388,0.12297278850631299,0.8076923076923077,0.20015387300166676,0.8310737260455314,0.55,0.3,0.05
D-B0.55/L0.3/V0.1,0.2755759214136504,1.1976714458580096,-0.31633587650172335,0.040229406323521566,0.12691036738400419,0.8269230769230769,0.20867268420745377,0.8610368712925931,0.55,0.3,0.1
D-B0.55/L0.35/V0.05,0.2851909501271779,1.170171702592933,-0.34461017482049894,0.03809705904217631,0.12523297646935405,0.8076923076923077,0.1982421433416648,0.797891640134688,0.55,0.35,0.05
D-B0.55/L0.35/V0.1,0.2873047539352298,1.1891422485218386,-0.3341675752065706,0.04054781946734631,0.129677088289331,0.8269230769230769,0.20348561363268414,0.8172384560041367,0.55,0.35,0.1
