strategy,verdict,n_windows,mean_CAGR,median_CAGR,std_CAGR,min_CAGR,max_CAGR,P05_CAGR,P25_CAGR,P75_CAGR,P95_CAGR,WFA_CI95_lo,WFA_CI95_hi,t_stat,t_pvalue,mean_Sharpe,std_Sharpe,mean_CAGR_IS,mean_CAGR_postIS,WFA_WFE,n_windows_IS,n_windows_postIS,crit_alpha,crit_beta
B9-Winner,PASS,49,0.410409,0.340277,0.531477,-0.390384,1.691784,-0.308629,-0.055791,0.671372,1.461086,0.257751,0.563067,5.405430,0.000001,0.855076,1.155041,0.400484,0.522067,1.303589,45,4,True,True
B9-Stable,PASS,49,0.410226,0.343579,0.533621,-0.388736,1.717914,-0.301531,-0.040681,0.652716,1.452303,0.256952,0.563500,5.381313,0.000001,0.857595,1.159211,0.402114,0.501482,1.247112,45,4,True,True
REF,PASS,49,0.411579,0.357877,0.537168,-0.385663,1.770582,-0.293230,-0.029753,0.635390,1.416132,0.257287,0.565872,5.363422,0.000001,0.870663,1.160713,0.406763,0.465770,1.145066,45,4,True,True
