indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset
TF2_PvMA_50,5,0.055214652977979006,2.3195852646374698e-10,0.055214652977979006,0.567629179331307,0.5315301625892721,0.004837094724654115,4.0550342569481295,0.024219434999079744,5,0.10379252750038788,0.05243856041444688,-0.04041145059032374,0.007131429090967473,-0.010304854265568623,0.009756049456304977,0.04713378338734336,Bond
TF2_PvMA_50,21,0.05049003494496636,6.959078532804986e-09,0.05049003494496636,0.6027084601339014,0.5712764338962422,0.009064115027522827,3.5187695482101473,0.036322319013018335,5,0.1765622180483665,0.13200868404052926,-0.0993542816405963,-0.08498151337472928,0.06943771968493036,0.03841627984360528,0.02216712648902247,Bond
TF2_PvMA_50,63,0.034649832377488685,7.274593160530406e-05,0.034649832377488685,0.6475347275225156,0.6108058608058609,0.0051887319682999145,1.0559491284596376,0.010823189610579403,4,0.03164971923693529,0.23966305201327967,-0.22486123487140772,-0.03777481969324235,0.08668883257773334,0.11731141119160982,-0.13691463318085223,Bond
TF2_PvMA_100,5,0.052065735908324424,2.279259565231199e-09,0.052065735908324424,0.5644376899696049,0.5347211669958973,0.004431088924732036,3.716114383720917,0.019523119666599167,5,0.07290318990653047,0.08126988874572232,-0.05069227672560748,-0.009484765934796304,0.009526934828375294,0.032912602163482026,0.00022626468248784814,Bond
TF2_PvMA_100,21,0.05798187143064255,2.878000348192282e-11,0.05798187143064255,0.6122945830797322,0.5616917693595009,0.007905479267149169,3.0491665969606783,0.01591290146801846,4,0.10722485018105368,0.16061400917707344,-0.1514958362739547,-0.08291260604020498,0.08838910319799231,0.05096031464275818,-0.061389524608588736,Bond
TF2_PvMA_100,63,0.037675638789527,1.604810619827606e-05,0.037675638789527,0.6533353686460083,0.605006105006105,0.012059484576722138,2.516930702972931,-0.048963021326822266,3,-0.02070110974977337,0.17955436820623466,-0.3182324681784544,-0.14513845381013532,0.06024159696424987,0.08837165457446751,-0.18683673729434475,Bond
TF2_PvMA_150,5,0.05170986813611906,2.9270845501080294e-09,0.05170986813611906,0.5648936170212766,0.5342653092235222,0.0038210476078043617,3.259333386329785,0.0024603165223855425,4,0.05893398549539129,0.05070676268935511,-0.06805334792353926,-0.05590598775199065,0.006884789845646603,0.034873160786003034,-0.010217147484167325,Bond
TF2_PvMA_150,21,0.056033135982481774,1.2867350946175598e-10,0.056033135982481774,0.6103164942178941,0.563669557279781,0.009730159044823983,3.777030061076723,-0.021880493743605418,4,0.0845762482580502,0.10610178725499228,-0.20384279279216533,-0.1654548121118228,0.05053169335773306,0.03568571705457501,-0.06076129722660032,Bond
TF2_PvMA_150,63,0.03618679671673486,3.4248684401841537e-05,0.03618679671673486,0.6522668294916807,0.606074481074481,0.01277051874746181,2.666996228605155,-0.0868053174199903,3,0.0013203724601085491,0.12322220230988323,-0.35760697083668724,-0.25606162092168727,-0.03633564159618488,0.05802998829217157,-0.140205551647536,Bond
TF2_PvMA_200,5,0.05188483106537257,2.5888715032783414e-09,0.05188483106537257,0.5658054711246201,0.5333535936787722,0.004200415551719955,3.5639147425606463,-0.006433169738414811,3,0.05006685336296029,0.046259549445024695,-0.06649014964267702,-0.07659284824635475,-0.019938630130228858,0.02378834341636924,-0.002125306373997288,Bond
TF2_PvMA_200,21,0.05769244609808384,3.606149832054493e-11,0.05769244609808384,0.6101643335362142,0.5638216948121102,0.011346914570527713,4.339699293769137,-0.03938590779898633,3,0.06992187694513281,0.08550399998970765,-0.20664531875992373,-0.2007177754643063,-0.00202095647250493,0.0030259543125457982,-0.02476913514355565,Bond
TF2_PvMA_200,63,0.05203387475818245,2.5270132543639304e-09,0.05203387475818245,0.6620363303312471,0.5963064713064713,0.02371365845095119,4.8932316372714215,-0.09664510596063645,2,-0.013969560071866616,0.08093211093702507,-0.2910980888328176,-0.2711059582152419,-0.08496959331110678,0.003204274508748104,-0.09950892673919531,Bond
