k_lo,k_hi,vz_thr,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0.400000,0.700000,0.700000,0.314708,0.318606,0.869111,-0.594766,0.186645,0.094882,-0.003898,27.115499
0.400000,0.800000,0.700000,0.314559,0.318586,0.868971,-0.593499,0.186052,0.094727,-0.004027,27.115499
0.100000,0.500000,1.000000,0.309130,0.291192,0.814741,-0.604588,0.185174,0.093021,0.017938,27.115499
0.100000,0.600000,1.000000,0.309991,0.292130,0.816265,-0.604122,0.185715,0.094884,0.017861,27.115499
0.100000,0.700000,1.000000,0.310720,0.292046,0.815983,-0.602992,0.186355,0.096536,0.018674,27.115499
0.100000,0.800000,1.000000,0.310914,0.292470,0.816691,-0.601861,0.187046,0.097422,0.018444,27.115499
0.200000,0.500000,1.000000,0.310734,0.298469,0.829766,-0.602082,0.187433,0.093574,0.012265,27.115499
0.200000,0.600000,1.000000,0.311596,0.299413,0.831288,-0.601613,0.187975,0.094648,0.012183,27.115499
0.200000,0.700000,1.000000,0.312326,0.299328,0.830999,-0.600476,0.188616,0.096040,0.012998,27.115499
0.200000,0.800000,1.000000,0.312520,0.299754,0.831708,-0.599337,0.189308,0.096896,0.012765,27.115499
0.300000,0.500000,1.000000,0.311718,0.306003,0.845161,-0.599568,0.186656,0.091997,0.005715,27.115499
0.300000,0.600000,1.000000,0.312581,0.306952,0.846681,-0.599095,0.190047,0.093544,0.005629,27.115499
0.300000,0.700000,1.000000,0.313311,0.306867,0.846384,-0.597951,0.190689,0.095126,0.006444,27.115499
0.300000,0.800000,1.000000,0.313505,0.307296,0.847093,-0.596806,0.191383,0.096045,0.006210,27.115499
0.400000,0.500000,1.000000,0.312173,0.310301,0.854478,-0.597046,0.183733,0.092192,0.001872,27.115499
0.400000,0.600000,1.000000,0.313037,0.311253,0.855997,-0.596570,0.187322,0.094420,0.001783,27.115499
0.400000,0.700000,1.000000,0.313767,0.311168,0.855695,-0.595419,0.190173,0.095762,0.002599,27.115499
0.400000,0.800000,1.000000,0.313961,0.311598,0.856405,-0.594266,0.191387,0.096675,0.002363,27.115499
