strategy,mean,median,std,max,min,positive_yrs,negative_yrs,n_yrs
NEW (vz=0.65+l7+F10ε) 🔍,26.802476335895264,21.76574907215764,40.73763671753278,124.13140634504092,-41.7854537731438,35,18,53
F10 ε=0.015 ★,26.545352068977017,19.64250555337765,40.63945296214303,121.54473081687085,-41.90005140677705,35,18,53
F8 R5_CALM_BOOST,26.547962851119998,19.642505553377628,40.641744705469975,121.4970714320178,-41.876304493704474,35,18,53
F7v3+E4 A:tilt=2.0,25.988010866926913,21.068302488385658,40.12883023311739,120.15169659330816,-40.59044468344729,36,17,53
D5 vz=0.65/lmax=5.5,24.49605309875152,18.466798111152464,34.39348330328977,95.24819670635851,-33.75120018012282,36,17,53
E4 Regime k_lt ◆,25.72286128173064,18.68617564359496,39.67340627208485,122.76823464510261,-37.287517456652644,36,17,53
DH Dyn 2x3x [A],21.189693186547192,21.185899342689954,25.611762309233793,99.00319137582301,-24.115796604829814,41,12,53
NDX 1x B&H,11.252755036291155,12.344532448698027,20.605883301425052,69.73666230846385,-33.25561003519838,39,14,53
