N,k_lt,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,Trades_yr,WFA_CI95_lo,WFA_WFE
500,0.300000,0.352255,0.284915,0.810738,-0.642587,0.188575,0.107021,-0.008880,0.067339,27.115499,,
500,0.500000,0.357335,0.283411,0.823527,-0.653670,0.192572,0.125505,0.001778,0.073924,27.115499,,
500,0.700000,0.361549,0.279693,0.829270,-0.674557,0.193948,0.140434,0.010639,0.081856,27.115499,,
750,0.300000,0.327470,0.295903,0.821797,-0.610259,0.184125,0.084694,-0.028816,0.031567,27.115499,,
750,0.500000,0.317337,0.304918,0.846966,-0.600712,0.187071,0.090442,-0.028483,0.012420,27.115499,,
750,0.700000,0.311073,0.305050,0.849793,-0.610084,0.180807,0.097723,-0.023109,0.006023,27.115499,,
1000,0.300000,0.322944,0.286382,0.793653,-0.649442,0.154579,0.075939,-0.029213,0.036562,27.115499,,
1000,0.500000,0.309890,0.287556,0.796793,-0.659695,0.137635,0.080542,-0.024374,0.022334,27.115499,,
1000,0.700000,0.298541,0.289512,0.798435,-0.672532,0.126256,0.084635,-0.022602,0.009029,27.115499,,
