variant,period,CAGR%,Sharpe,MaxDD%,Worst5Y%,Calmar,WinRate%,TradesPerYear,safe1,safe2,wn_max
V0_baseline,FULL,30.8200,1.2980,-31.3600,4.7700,0.9830,82.7000,27.1000,G2x,B3x,0.9000
V0_baseline,IS,31.4300,1.3380,-31.3600,4.7700,1.0020,85.1000,27.1000,G2x,B3x,0.9000
V0_baseline,OOS,25.4900,0.9960,-29.9500,,0.8510,60.0000,27.1000,G2x,B3x,0.9000
V0_baseline,WF3,30.7400,1.0830,-29.9500,21.9800,1.0260,66.7000,27.1000,G2x,B3x,0.9000
V1_bond1x,FULL,27.5300,1.2150,-32.6000,3.1300,0.8450,80.8000,27.1000,G2x,B1x,0.9000
V1_bond1x,IS,27.6800,1.2390,-32.6000,3.1300,0.8490,83.0000,27.1000,G2x,B1x,0.9000
V1_bond1x,OOS,26.5500,1.0440,-25.1300,,1.0560,60.0000,27.1000,G2x,B1x,0.9000
V1_bond1x,WF3,31.0500,1.1060,-25.1300,22.9800,1.2360,66.7000,27.1000,G2x,B1x,0.9000
V2_bond2x,FULL,29.1700,1.2600,-30.2600,3.9400,0.9640,82.7000,27.1000,G2x,B2x,0.9000
V2_bond2x,IS,29.5400,1.2930,-30.2600,3.9400,0.9760,85.1000,27.1000,G2x,B2x,0.9000
V2_bond2x,OOS,26.0100,1.0210,-27.5700,,0.9440,60.0000,27.1000,G2x,B2x,0.9000
V2_bond2x,WF3,30.8900,1.0950,-27.5700,22.4800,1.1200,66.7000,27.1000,G2x,B2x,0.9000
V3_gold2x_only,FULL,28.8000,1.1720,-52.1200,1.3900,0.5520,78.8000,27.1000,G2x,None,0.9000
V3_gold2x_only,IS,28.2200,1.1730,-52.1200,1.3900,0.5410,80.9000,27.1000,G2x,None,0.9000
V3_gold2x_only,OOS,34.9600,1.1940,-23.3700,,1.4960,60.0000,27.1000,G2x,None,0.9000
V3_gold2x_only,WF3,38.7600,1.2050,-24.3800,31.1900,1.5890,66.7000,27.1000,G2x,None,0.9000
V4_gold1x2x,FULL,27.3100,1.1720,-44.3200,1.8600,0.6160,78.8000,27.1000,G1x,G2x,0.9000
V4_gold1x2x,IS,26.9800,1.1790,-44.3200,1.8600,0.6090,80.9000,27.1000,G1x,G2x,0.9000
V4_gold1x2x,OOS,30.9600,1.1390,-22.3200,,1.3870,60.0000,27.1000,G1x,G2x,0.9000
V4_gold1x2x,WF3,34.9500,1.1680,-22.3200,27.8200,1.5660,66.7000,27.1000,G1x,G2x,0.9000
V5_nas_tilt,FULL,27.5300,1.2150,-32.6000,3.1300,0.8450,80.8000,27.1000,G2x,B1x,0.9500
V5_nas_tilt,IS,27.6800,1.2390,-32.6000,3.1300,0.8490,83.0000,27.1000,G2x,B1x,0.9500
V5_nas_tilt,OOS,26.5500,1.0440,-25.1300,,1.0560,60.0000,27.1000,G2x,B1x,0.9500
V5_nas_tilt,WF3,31.0500,1.1060,-25.1300,22.9800,1.2360,66.7000,27.1000,G2x,B1x,0.9500
V6_gold_heavy,FULL,27.9100,1.1730,-47.5800,1.6900,0.5870,78.8000,27.1000,G1x,G2x,0.9000
V6_gold_heavy,IS,27.4900,1.1780,-47.5800,1.6900,0.5780,80.9000,27.1000,G1x,G2x,0.9000
V6_gold_heavy,OOS,32.5700,1.1640,-22.1700,,1.4690,60.0000,27.1000,G1x,G2x,0.9000
V6_gold_heavy,WF3,36.4800,1.1850,-22.7500,29.2800,1.6030,66.7000,27.1000,G1x,G2x,0.9000
V7_gold1x_b1x,FULL,25.8600,1.1810,-31.0400,3.2600,0.8330,82.7000,27.1000,G1x,B1x,0.9000
V7_gold1x_b1x,IS,26.2500,1.2140,-31.0400,3.2600,0.8460,85.1000,27.1000,G1x,B1x,0.9000
V7_gold1x_b1x,OOS,22.5000,0.9420,-25.7200,,0.8750,60.0000,27.1000,G1x,B1x,0.9000
V7_gold1x_b1x,WF3,27.0700,1.0220,-25.7200,18.5100,1.0520,66.7000,27.1000,G1x,B1x,0.9000
