metric,IS (1974-2021),OOS (2021-2026)
mean,0.5511537610355176,0.5512654067839367
median,0.5922552808411635,0.6036338860078023
std,0.40833983217789716,0.41139886172728796
p10,0.0,0.0
p25,0.10001910113673185,0.07422122636166006
p50,0.5922552808411635,0.6036338860078023
p75,1.0,1.0
p90,1.0,1.0
% > 0.15,72.75391442686092,71.45187601957585
% > 0.30,65.21811940048565,64.43719412724307
% > 0.50,54.13212760612911,55.05709624796084
% > 0.70,45.415724692288364,46.084828711256115
