key,label,windows,weights,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,Trades_yr,WFA_CI95_lo,WFA_WFE,verdict
equal4,Equal-W 4窓 [500/1000/1500/2000],"[500, 1000, 1500, 2000]","[0.25, 0.25, 0.25, 0.25]",0.316744,0.293940,0.827418,-0.645977,0.126376,0.097059,-0.050400,0.022804,27.115499,,,FAIL
short4,Short-heavy 4窓 [500/1000/1500/2000],"[500, 1000, 1500, 2000]","[0.4, 0.3, 0.2, 0.1]",0.323281,0.294961,0.822553,-0.650956,0.149330,0.106421,-0.012970,0.028320,27.115499,,,FAIL
long4,Long-heavy 4窓 [500/1000/1500/2000],"[500, 1000, 1500, 2000]","[0.1, 0.2, 0.3, 0.4]",0.309189,0.288966,0.825241,-0.640636,0.103343,0.091445,-0.083699,0.020223,27.115499,,,FAIL
dual_750_1500,2窓 N=750+1500 equal,"[750, 1500]","[0.5, 0.5]",0.320421,0.318807,0.871715,-0.614077,0.172874,0.106433,-0.021824,0.001614,27.115499,,,WARN
dual_750_2000,2窓 N=750+2000 equal,"[750, 2000]","[0.5, 0.5]",0.312691,0.297805,0.841627,-0.614077,0.120635,0.087195,-0.059142,0.014886,27.115499,,,FAIL
base_N750,Baseline 単一 N=750 (現行ベスト),[750],[1.0],0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.024913,-0.018127,27.115499,,,PASS
base_N1500,Baseline 単一 N=1500 (R1A Sharpe最高),[1500],[1.0],0.311608,0.310827,0.867663,-0.633666,0.134953,0.095391,-0.053611,0.000781,27.115499,,,FAIL
