signal_id,signal_name,asset,horizon,n_obs,mean_ic,t_stat,p_value,p_value_bh,hit_rate_max_level,hit_wilson_lower,base_rate,hit_lift_pp,half_sample_same_sign,decade_same_sign,pass_flag
6,VIX level,NDX,5,3901,0.1337496360667813,20.225332671864862,0.0,0.0,0.591728525980912,0.5600468873561285,0.6021176470588235,-1.0389121077911567,True,True,False
6,VIX level,NDX,20,3886,0.21569510753180315,21.778780881384474,0.0,0.0,0.6956055734190782,0.665327016251126,0.6750885478158205,2.0517025603257744,True,True,True
6,VIX level,NDX,60,3847,0.33703344407614,20.902218715767166,0.0,0.0,0.8102893890675241,0.7838786520044787,0.7501787842669845,6.011060480053965,True,True,True
6,VIX level,IEF,5,3901,-0.026646265673859287,-3.3605087343224507,0.0007779907076252979,0.001195449136107165,0.5090137857900318,0.47713456842876995,0.5355294117647059,-2.651562597467416,False,False,False
6,VIX level,IEF,20,3886,-0.017719626305694975,-1.1867168342268068,0.23533933257036388,0.25562720606780903,0.5369774919614148,0.5048958599573264,0.5600944510035419,-2.3116959042127183,False,False,False
6,VIX level,IEF,60,3847,-0.06462736573098528,-3.2365690810849324,0.001209759412484468,0.001814639118726702,0.5530546623794212,0.5209998016179724,0.6038140643623361,-5.075940198291484,False,False,False
6,VIX level,GLD,5,3901,0.026580195210666225,3.58028851081952,0.0003432150392144173,0.0005405636867627073,0.5556733828207847,0.5237969427458955,0.5428235294117647,1.2849853409020007,False,False,False
6,VIX level,GLD,20,3886,0.04791337745814499,3.5870855699858235,0.00033439461147888316,0.0005401759108505036,0.6045016077170418,0.5727599525939316,0.5641086186540732,4.039298906296851,False,False,False
6,VIX level,GLD,60,3847,-0.02294995787879572,-1.1213380333129124,0.2621440020499144,0.27991647676516285,0.639871382636656,0.608553465886802,0.6212157330154946,1.8655649621161396,False,False,False
21,ICE BofA HY OAS,NDX,5,444,0.1999796595591137,10.269155643425101,0.0,0.0,0.6214689265536724,0.5481513337173403,0.6021176470588235,1.9351279494848828,True,True,False
21,ICE BofA HY OAS,NDX,20,429,0.27153629644432703,6.338031466432352,2.327193993068022e-10,6.6642373437857e-10,0.7231638418079096,0.6530390927252063,0.6750885478158205,4.80752939920891,False,True,True
21,ICE BofA HY OAS,NDX,60,390,0.5326722195419648,9.824666691550648,0.0,0.0,0.7909604519774012,0.725194449627461,0.7501787842669845,4.078166771041669,True,True,True
21,ICE BofA HY OAS,IEF,5,444,-0.0066300285616184415,-0.4017448568968397,0.6878718084215354,0.6989665150089795,0.4689265536723164,0.39685107788188795,0.5355294117647059,-6.660285809238953,True,True,False
21,ICE BofA HY OAS,IEF,20,429,-0.06974288984846767,-1.6488286119864175,0.09918275150798062,0.11158059544647819,0.384180790960452,0.31570696431524514,0.5600944510035419,-17.591366004308995,True,True,True
