signal_id,signal_name,asset,horizon,n_obs,mean_ic,t_stat,p_value,p_value_bh,hit_rate_max_level,hit_wilson_lower,base_rate,hit_lift_pp,half_sample_same_sign,decade_same_sign,pass_flag
6,VIX level,NDX,20,3886,0.21569510753180315,21.778780881384474,0.0,0.0,0.6956055734190782,0.665327016251126,0.6750885478158205,2.0517025603257744,True,True,True
6,VIX level,NDX,60,3847,0.33703344407614,20.902218715767166,0.0,0.0,0.8102893890675241,0.7838786520044787,0.7501787842669845,6.011060480053965,True,True,True
21,ICE BofA HY OAS,NDX,20,429,0.27153629644432703,6.338031466432352,2.327193993068022e-10,6.6642373437857e-10,0.7231638418079096,0.6530390927252063,0.6750885478158205,4.80752939920891,False,True,True
21,ICE BofA HY OAS,NDX,60,390,0.5326722195419648,9.824666691550648,0.0,0.0,0.7909604519774012,0.725194449627461,0.7501787842669845,4.078166771041669,True,True,True
21,ICE BofA HY OAS,IEF,20,429,-0.06974288984846767,-1.6488286119864175,0.09918275150798062,0.11158059544647819,0.384180790960452,0.31570696431524514,0.5600944510035419,-17.591366004308995,True,True,True
21,ICE BofA HY OAS,IEF,60,390,-0.10869078008228399,-4.6599328688191415,3.163125291472113e-06,6.4282868826691336e-06,0.5084745762711864,0.435431393463088,0.6038140643623361,-9.533948809114968,True,True,True
23,BAA-10Y credit spread (HY-IG proxy),NDX,20,3537,0.16378249742263926,9.736998474844514,0.0,0.0,0.7063953488372093,0.68178470205951,0.6750885478158205,3.130680102138883,True,True,True
23,BAA-10Y credit spread (HY-IG proxy),NDX,60,3500,0.2047031001203037,7.808012190206971,5.773159728050814e-15,2.424727085781342e-14,0.7834302325581395,0.7608932023032545,0.7501787842669845,3.3251448291155006,True,True,True
26,2s10s spread (DGS10-DGS2),NDX,20,2817,-0.07364232915437273,-4.129415760231845,3.63686223181503e-05,7.16007251888584e-05,0.6671368124118476,0.6421869122758538,0.6750885478158205,-0.795173540397287,False,True,True
26,2s10s spread (DGS10-DGS2),NDX,60,2806,-0.0641307457590636,-2.712927321049206,0.006669173197044742,0.00857465125334324,0.7581100141043724,0.7351431588576903,0.7501787842669845,0.7931229837387921,False,True,True
41,DXY,NDX,20,2903,0.09360569428698925,6.891633476430351,5.515587986337778e-12,1.8288528586277897e-11,0.6882556131260794,0.6609911371065347,0.6750885478158205,1.3167065310258907,False,True,True
41,DXY,NDX,60,2903,0.20124867213240916,9.996093756990495,0.0,0.0,0.7778768956289027,0.7526178629906118,0.7501787842669845,2.7698111361918243,True,True,True
41,DXY,GLD,20,2903,0.09701402266270316,5.525194586607918,3.291206351896392e-08,7.679481487758248e-08,0.6606217616580311,0.6328589304830671,0.5641086186540732,9.651314300395786,True,False,True
28,10Y real yield (DGS10 - CPI YoY),IEF,20,2713,0.1048075157851713,5.526197331289564,3.2724604803746615e-08,7.679481487758248e-08,0.5694444444444444,0.48780357786706985,0.5600944510035419,0.9349993440902482,True,True,True
28,10Y real yield (DGS10 - CPI YoY),IEF,60,2676,0.07402909745312607,2.7261939462061697,0.006406933933891246,0.00840910078823226,0.6041666666666666,0.5225848540044727,0.6038140643623361,0.03526023043305404,False,True,True
28,10Y real yield (DGS10 - CPI YoY),GLD,20,2713,0.07448907359115002,3.6765110577197935,0.0002364456107233348,0.00039200193356763406,0.7847222222222222,0.7106590255502282,0.5641086186540732,22.061360356814895,True,True,True
28,10Y real yield (DGS10 - CPI YoY),GLD,60,2676,0.049193255745062336,1.857400082528501,0.06325425475573021,0.07245487362929097,0.9305555555555556,0.8768914537023965,0.6212157330154946,30.933982254006096,True,True,True
