Date,Close
1994-05-04,118.96743774414062
1994-05-05,118.21279907226562
1994-05-06,117.63807678222656
1994-05-09,115.55408477783203
1994-05-10,117.3832015991211
1994-05-11,115.28921508789062
1994-05-12,114.85942077636719
1994-05-13,113.53006744384766
1994-05-16,111.18120574951172
1994-05-17,110.70643615722656
1994-05-18,115.6590347290039
1994-05-19,118.95244598388672
1994-05-20,118.5526351928711
1994-05-23,117.82798767089844
1994-05-24,119.04239654541016
1994-05-25,119.02740478515625
1994-05-26,117.85797119140625
1994-05-27,118.36272430419922
1994-05-31,121.71611022949219
1994-06-01,128.18296813964844
1994-06-02,128.24293518066406
1994-06-03,126.89859771728516
1994-06-06,126.1889419555664
1994-06-07,123.08544158935547
1994-06-08,117.65306854248047
1994-06-09,115.55408477783203
1994-06-10,118.77252960205078
1994-06-13,118.43269348144531
1994-06-14,121.70111846923828
1994-06-15,122.05593872070312
1994-06-16,121.77108001708984
1994-06-17,119.49717712402344
1994-06-20,117.1333236694336
1994-06-21,114.60954284667969
1994-06-22,117.79800415039062
1994-06-23,113.92987060546875
1994-06-24,114.11978149414062
1994-06-27,118.10784912109375
1994-06-28,120.48670196533203
1994-06-29,120.90149688720703
1994-06-30,119.40721893310547
1994-07-01,120.0718994140625
1994-07-05,119.86700439453125
1994-07-06,118.93745422363281
1994-07-07,123.40528106689453
1994-07-08,125.5692367553711
1994-07-11,125.62421417236328
1994-07-12,127.45832061767578
1994-07-13,130.44686889648438
1994-07-14,130.25198364257812
1994-07-15,124.5197525024414
1994-07-18,124.03498840332031
1994-07-19,121.076416015625
1994-07-20,118.5526351928711
1994-07-21,118.53264617919922
1994-07-22,119.9869384765625
1994-07-25,119.02740478515625
1994-07-26,118.22779846191406
1994-07-27,116.82347106933594
1994-07-28,118.03788757324219
1994-07-29,122.39578247070312
1994-08-01,124.2398910522461
1994-08-02,124.63968658447266
1994-08-03,124.72964477539062
1994-08-04,123.35531616210938
1994-08-05,124.13493347167969
1994-08-08,124.65467834472656
1994-08-09,126.66371154785156
1994-08-10,131.16653442382812
1994-08-11,131.7162628173828
1994-08-12,131.79122924804688
1994-08-15,132.18603515625
1994-08-16,134.0651397705078
1994-08-17,135.68934631347656
1994-08-18,135.5244140625
1994-08-19,135.4244842529297
1994-08-22,135.87925720214844
1994-08-23,135.9991912841797
1994-08-24,134.2400360107422
1994-08-25,136.4439697265625
1994-08-26,138.14315795898438
1994-08-29,137.38851928710938
1994-08-30,138.89280700683594
1994-08-31,134.83474731445312
1994-09-01,131.09657287597656
1994-09-02,130.88665771484375
1994-09-06,130.8017120361328
1994-09-07,132.95567321777344
1994-09-08,133.80026245117188
1994-09-09,131.8612060546875
1994-09-12,130.7117462158203
1994-09-13,132.38095092773438
1994-09-14,132.42593383789062
1994-09-15,136.07415771484375
1994-09-16,136.38400268554688
1994-09-19,135.4994354248047
1994-09-20,133.0606231689453
1994-09-21,131.03660583496094
1994-09-22,131.12655639648438
1994-09-23,129.92713928222656
1994-09-26,127.9930648803711
1994-09-27,128.58279418945312
1994-09-28,128.27293395996094
1994-09-29,129.1275177001953
1994-09-30,128.70272827148438
1994-10-03,125.49427795410156
1994-10-04,119.822021484375
1994-10-05,120.57666015625
1994-10-06,120.11688232421875
1994-10-07,122.66065216064453
1994-10-10,126.20393371582031
1994-10-11,128.13800048828125
1994-10-12,127.00354766845703
1994-10-13,126.05900573730469
1994-10-14,125.87909698486328
1994-10-17,126.20393371582031
1994-10-18,126.85362243652344
1994-10-19,130.14703369140625
1994-10-20,130.85667419433594
1994-10-21,131.8312225341797
1994-10-24,131.73126220703125
1994-10-25,131.271484375
1994-10-26,135.2745361328125
1994-10-27,137.72836303710938
1994-10-28,141.25665283203125
1994-10-31,141.70144653320312
1994-11-01,141.56649780273438
1994-11-02,143.23568725585938
1994-11-03,142.1312255859375
1994-11-04,139.58746337890625
1994-11-07,138.128173828125
1994-11-08,141.48155212402344
1994-11-09,142.07125854492188
1994-11-10,140.0472412109375
1994-11-11,139.50250244140625
1994-11-14,143.03079223632812
1994-11-15,142.94082641601562
1994-11-16,142.73593139648438
1994-11-17,142.69094848632812
1994-11-18,143.20071411132812
1994-11-21,142.29115295410156
1994-11-22,136.95872497558594
1994-11-23,137.10865783691406
1994-11-25,139.1526641845703
1994-11-28,139.27760314941406
1994-11-29,141.5964813232422
1994-11-30,138.30307006835938
1994-12-01,135.79429626464844
1994-12-02,137.5934295654297
1994-12-05,140.81686401367188
1994-12-06,139.75238037109375
1994-12-07,138.43801879882812
1994-12-08,131.74624633789062
1994-12-09,134.2250518798828
1994-12-12,133.5303955078125
1994-12-13,133.04562377929688
1994-12-14,135.2445526123047
1994-12-15,135.6143798828125
1994-12-16,134.0801239013672
1994-12-19,132.05609130859375
1994-12-20,134.60986328125
1994-12-21,136.2490692138672
1994-12-22,135.2745361328125
1994-12-23,136.7238311767578
1994-12-27,140.4270477294922
1994-12-28,139.84234619140625
1994-12-29,141.55149841308594
1994-12-30,140.0172576904297
1995-01-03,136.69384765625
1995-01-04,136.45896911621094
1995-01-05,136.79881286621094
1995-01-06,137.6584014892578
1995-01-09,139.75238037109375
1995-01-10,144.3301544189453
1995-01-11,143.75543212890625
1995-01-12,145.98936462402344
1995-01-13,146.27423095703125
1995-01-16,147.4036865234375
1995-01-17,148.2932586669922
1995-01-18,148.96791076660156
1995-01-19,148.1732940673828
1995-01-20,145.8944091796875
1995-01-23,144.74996948242188
1995-01-24,146.79896545410156
1995-01-25,143.72544860839844
1995-01-26,141.28663635253906
1995-01-27,143.75543212890625
1995-01-30,139.72238159179688
1995-01-31,139.44752502441406
1995-02-01,141.9962921142578
1995-02-02,144.07528686523438
1995-02-03,145.9243927001953
1995-02-06,147.97340393066406
1995-02-07,147.2237548828125
1995-02-08,149.8424835205078
1995-02-09,152.93099975585938
1995-02-10,155.65968322753906
1995-02-13,155.51974487304688
1995-02-14,158.8831329345703
1995-02-15,159.5128173828125
1995-02-16,161.62179565429688
1995-02-17,156.7141571044922
1995-02-21,157.79864501953125
1995-02-22,158.8931121826172
1995-02-23,158.86312866210938
1995-02-24,158.74319458007812
1995-02-27,157.76365661621094
1995-02-28,162.08656311035156
1995-03-01,164.03062438964844
1995-03-02,164.40545654296875
1995-03-03,168.79331970214844
1995-03-06,170.4625244140625
1995-03-07,168.44349670410156
1995-03-08,167.6488800048828
1995-03-09,168.27857971191406
1995-03-10,168.7333526611328
1995-03-13,171.98678588867188
1995-03-14,174.44058227539062
1995-03-15,173.551025390625
1995-03-16,172.33160400390625
1995-03-17,171.5070037841797
1995-03-20,174.8004150390625
1995-03-21,174.81539916992188
1995-03-22,174.23069763183594
1995-03-23,178.74851989746094
1995-03-24,181.6571044921875
1995-03-27,185.00048828125
1995-03-28,185.585205078125
1995-03-29,180.5426483154297
1995-03-30,175.4201202392578
1995-03-31,174.3506317138672
1995-04-03,177.04434204101562
1995-04-04,172.55650329589844
1995-04-05,174.3356475830078
1995-04-06,173.9108428955078
1995-04-07,177.6790313720703
1995-04-10,180.75253295898438
1995-04-11,180.992431640625
1995-04-12,182.98147583007812
1995-04-13,187.6492156982422
1995-04-17,181.58213806152344
1995-04-18,181.38223266601562
1995-04-19,178.3437042236328
1995-04-20,178.71353149414062
1995-04-21,179.72804260253906
1995-04-24,188.19393920898438
1995-04-25,191.53732299804688
1995-04-26,195.98016357421875
1995-04-27,196.20506286621094
1995-04-28,197.15460205078125
1995-05-01,194.9706573486328
1995-05-02,194.56585693359375
1995-05-03,199.63839721679688
1995-05-04,202.14219665527344
1995-05-05,201.5074920654297
1995-05-08,204.22119140625
1995-05-09,203.61647033691406
1995-05-10,202.1871795654297
1995-05-11,205.8004150390625
1995-05-12,208.2542266845703
1995-05-15,210.49815368652344
1995-05-16,213.13687133789062
1995-05-17,220.05352783203125
1995-05-18,220.30340576171875
1995-05-19,220.4583282470703
1995-05-22,225.48590087890625
1995-05-23,232.60244750976562
1995-05-24,226.69529724121094
1995-05-25,226.93019104003906
1995-05-26,221.95761108398438
1995-05-30,210.9029541015625
1995-05-31,213.9664764404297
1995-06-01,219.33888244628906
1995-06-02,223.7367401123047
1995-06-05,223.64178466796875
1995-06-06,218.87908935546875
1995-06-07,220.28842163085938
1995-06-08,224.31146240234375
1995-06-09,225.51588439941406
1995-06-12,223.6917724609375
1995-06-13,224.62631225585938
1995-06-14,229.10914611816406
1995-06-15,233.65194702148438
1995-06-16,234.98629760742188
1995-06-19,244.26181030273438
1995-06-20,249.98904418945312
1995-06-21,243.4871826171875
1995-06-22,250.2139434814453
1995-06-23,251.50831604003906
1995-06-26,245.50120544433594
1995-06-27,240.6785430908203
1995-06-28,238.0548095703125
1995-06-29,243.78204345703125
1995-06-30,243.88699340820312
1995-07-03,243.64210510253906
1995-07-05,244.6865997314453
1995-07-06,252.43284606933594
1995-07-07,263.08270263671875
1995-07-10,264.3670654296875
1995-07-11,260.4239807128906
1995-07-12,276.6611328125
1995-07-13,278.5052490234375
1995-07-14,279.924560546875
1995-07-17,282.3183898925781
1995-07-18,275.5616760253906
1995-07-19,262.41302490234375
1995-07-20,262.25311279296875
1995-07-21,263.3525695800781
1995-07-24,275.9864501953125
1995-07-25,283.1130065917969
1995-07-26,284.0025939941406
1995-07-27,287.260986328125
1995-07-28,283.80267333984375
1995-07-31,282.0135498046875
1995-08-01,273.3876953125
1995-08-02,262.23309326171875
1995-08-03,261.8432922363281
1995-08-04,264.8918151855469
1995-08-07,265.3216247558594
1995-08-08,267.4805603027344
1995-08-09,271.4186706542969
1995-08-10,268.2301940917969
1995-08-11,273.8075256347656
1995-08-14,281.91357421875
1995-08-15,285.931640625
1995-08-16,299.635009765625
1995-08-17,296.2366638183594
1995-08-18,293.6479187011719
1995-08-21,275.23681640625
1995-08-22,283.9526062011719
1995-08-23,286.98114013671875
1995-08-24,282.54327392578125
