pattern_id,tier,signal_id,strategy,method,direction,signal_name,cand_cagr_oos,base_cagr_oos,cagr_oos_diff,cand_cagr_is,base_cagr_is,cand_is_oos_gap,base_is_oos_gap,is_oos_gap_diff,cand_sharpe_oos,base_sharpe_oos,sharpe_diff,cand_maxdd,base_maxdd,maxdd_diff,cand_worst10y,base_worst10y,worst10y_diff,cand_p10_5y,base_p10_5y,p10_5y_diff,improved_axes,degraded_axes,n_improved,n_degraded,judgment,improved_axes_relaxed,degraded_axes_relaxed,n_improved_relaxed,n_degraded_relaxed,judgment_relaxed
T1_M1_6_S1_defensive,1,6,S1,M1,defensive,VIX level,0.1031042663921564,0.3689540619928841,-0.2658497956007277,0.1701584250835937,0.31950509801781,0.0670541586914372,-0.0494489639750741,0.0176051947163631,0.459608989611634,0.9442167047916198,-0.4846077151799858,-0.6025155028442236,-0.6308742786041249,0.0283587757599013,-0.0434651427140776,0.1600767266136327,-0.2035418693277103,-0.0288066710752249,0.1027030491162227,-0.1315097201914477,maxdd,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,1,5,MARGINAL,maxdd,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL_RELAXED
T1_M1_6_S1_procyclical,1,6,S1,M1,procyclical,VIX level,0.3241875113674437,0.3689540619928841,-0.0447665506254404,0.2354743353124271,0.31950509801781,-0.0887131760550166,-0.0494489639750741,0.0392642120799424,1.057791482348337,0.9442167047916198,0.1135747775567171,-0.58334523861077,-0.6308742786041249,0.0475290399933548,0.0547100978464194,0.1600767266136327,-0.1053666287672132,0.091450652313923,0.1027030491162227,-0.0112523968022996,sharpe|maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL,sharpe|maxdd,cagr_oos|worst10y|is_oos_gap,2,3,MARGINAL_RELAXED
T1_M2_6_S1_defensive,1,6,S1,M2,defensive,VIX level,0.2645181140340531,0.3689540619928841,-0.104435947958831,0.2842887996582166,0.31950509801781,0.0197706856241635,-0.0494489639750741,-0.0296782783509106,0.7818995681485607,0.9442167047916198,-0.1623171366430591,-0.6553309115553116,-0.6308742786041249,-0.0244566329511867,0.0548849485623954,0.1600767266136327,-0.1051917780512372,0.0855606633943353,0.1027030491162227,-0.0171423857218874,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL,is_oos_gap,cagr_oos|sharpe|worst10y,1,3,MARGINAL_RELAXED
T1_M2_6_S1_procyclical,1,6,S1,M2,procyclical,VIX level,0.3809117355952247,0.3689540619928841,0.0119576736023405,0.293702812716468,0.31950509801781,-0.0872089228787567,-0.0494489639750741,0.0377599589036825,0.9848250911709384,0.9442167047916198,0.0406083863793186,-0.6615875943906551,-0.6308742786041249,-0.0307133157865301,0.0846506528368522,0.1600767266136327,-0.0754260737767804,0.1071053948354872,0.1027030491162227,0.0044023457192644,cagr_oos|sharpe,worst10y|is_oos_gap,2,2,MARGINAL,cagr_oos|sharpe,worst10y|is_oos_gap,2,2,MARGINAL_RELAXED
T1_M1_6_S2_defensive,1,6,S2,M1,defensive,VIX level,0.1083765047712692,0.3423408795785974,-0.2339643748073281,0.1480443163727252,0.2897521967072327,0.0396678116014559,-0.0525886828713646,-0.0129208712699087,0.5083438869935498,0.9899685484027656,-0.4816246614092156,-0.5181849703181018,-0.5181849703181018,0.0,-0.0215952534533109,0.1593257327269708,-0.1809209861802817,-0.0186234861498361,0.1186700038879602,-0.1372934900377963,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL_RELAXED
T1_M1_6_S2_procyclical,1,6,S2,M1,procyclical,VIX level,0.2879648749404504,0.3423408795785974,-0.0543760046381469,0.2125653455637304,0.2897521967072327,-0.07539952937672,-0.0525886828713646,0.0228108465053553,1.0642452699480165,0.9899685484027656,0.0742767215452507,-0.4735597888544525,-0.5181849703181018,0.0446251814636493,0.0560185533720356,0.1593257327269708,-0.1033071793549351,0.088446906231114,0.1186700038879602,-0.0302230976568461,sharpe|maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL,sharpe|maxdd,cagr_oos|worst10y|p10_5y,2,3,MARGINAL_RELAXED
T1_M2_6_S2_defensive,1,6,S2,M2,defensive,VIX level,0.2530368462626289,0.3423408795785974,-0.0893040333159684,0.2539809369650132,0.2897521967072327,0.0009440907023843,-0.0525886828713646,-0.0516445921689803,0.8442005544771429,0.9899685484027656,-0.1457679939256225,-0.587995384513005,-0.5181849703181018,-0.0698104141949031,0.0841711226310277,0.1593257327269708,-0.075154610095943,0.1042494665229065,0.1186700038879602,-0.0144205373650537,is_oos_gap,cagr_oos|sharpe|maxdd|worst10y|p10_5y,1,5,MARGINAL,is_oos_gap,cagr_oos|sharpe|worst10y,1,3,MARGINAL_RELAXED
T1_M2_6_S2_procyclical,1,6,S2,M2,procyclical,VIX level,0.3478286581166003,0.3423408795785974,0.0054877785380029,0.268118516667478,0.2897521967072327,-0.0797101414491223,-0.0525886828713646,0.0271214585777577,1.0096657744583817,0.9899685484027656,0.0196972260556161,-0.5431539296875838,-0.5181849703181018,-0.0249689593694819,0.0870304034569733,0.1593257327269708,-0.0722953292699974,0.1130593453987036,0.1186700038879602,-0.0056106584892565,cagr_oos,worst10y|is_oos_gap,1,2,MARGINAL,cagr_oos,worst10y,1,1,MARGINAL_RELAXED
T1_M1_6_S3_defensive,1,6,S3,M1,defensive,VIX level,0.0394204756834104,0.2111237540590425,-0.171703278375632,0.0926269909191424,0.175631905400452,0.0532065152357319,-0.0354918486585904,0.0177146665771414,0.3076693685114061,0.9026733232043064,-0.5950039546929003,-0.3472429125346629,-0.3457269515654877,-0.0015159609691751,-0.0286961509191907,0.0899817559593896,-0.1186779068785803,-0.0163463176454661,0.0481507783869045,-0.0644970960323707,,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,0,5,FAIL,,cagr_oos|sharpe|worst10y|p10_5y,0,4,FAIL_RELAXED
T1_M1_6_S3_procyclical,1,6,S3,M1,procyclical,VIX level,0.1926847667217399,0.2111237540590425,-0.0184389873373025,0.1278585672451746,0.175631905400452,-0.0648261994765653,-0.0354918486585904,0.0293343508179748,1.0125430722492228,0.9026733232043064,0.1098697490449163,-0.33556936830326,-0.3457269515654877,0.0101575832622277,0.0638244808945149,0.0899817559593896,-0.0261572750648746,0.044952037227693,0.0481507783869045,-0.0031987411592115,sharpe,cagr_oos|worst10y|is_oos_gap,1,3,MARGINAL,sharpe,worst10y,1,1,MARGINAL_RELAXED
