window_id,window_kind,is_start,is_end,oos_start,oos_end,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,candidate_minus_baseline_cagr,candidate_minus_baseline_sharpe,baseline_trades_yr,candidate_trades_yr
1977,IS,1977-01-03,1977-12-30,,,252,False,-0.052060,-0.052060,-0.418346,-0.418346,-0.143617,-0.143617,0.000000,0.000000,27.000000,27.000000
1978,IS,1978-01-03,1978-12-29,,,252,False,0.586743,0.586743,3.515868,3.515868,-0.108274,-0.108274,0.000000,0.000000,16.000000,16.000000
1979,IS,1979-01-02,1979-12-31,,,253,False,0.190976,0.190976,1.152743,1.152743,-0.170230,-0.170230,0.000000,0.000000,13.944664,13.944664
1980,IS,1980-01-02,1980-12-31,,,253,False,0.344327,0.344327,1.422210,1.422210,-0.248733,-0.248733,0.000000,0.000000,5.976285,5.976285
1981,IS,1981-01-02,1981-12-31,,,253,False,-0.003355,-0.003355,-0.034934,-0.034934,-0.045314,-0.045314,0.000000,0.000000,3.984190,3.984190
1982,IS,1982-01-04,1982-12-31,,,253,False,0.609262,0.609262,2.294550,2.294550,-0.140592,-0.140592,0.000000,0.000000,4.980237,4.980237
1983,IS,1983-01-03,1983-12-30,,,253,False,0.501657,0.501657,2.360960,2.360960,-0.097793,-0.097793,0.000000,0.000000,6.972332,6.972332
1984,IS,1984-01-03,1984-12-31,,,253,False,-0.078626,-0.078626,-1.043497,-1.043497,-0.091715,-0.091715,0.000000,0.000000,7.968379,7.968379
1985,IS,1985-01-02,1985-12-31,,,252,False,0.483264,0.483264,2.581712,2.581712,-0.146487,-0.146487,0.000000,0.000000,18.000000,18.000000
1986,IS,1986-01-02,1986-12-31,,,253,False,0.349953,0.328346,1.662290,1.387209,-0.156277,-0.195646,-0.021607,-0.275081,20.916996,31.873518
1987,IS,1987-01-02,1987-12-31,,,253,False,0.215648,0.287259,1.274896,1.596323,-0.153371,-0.154012,0.071611,0.321427,8.964427,22.909091
1988,IS,1988-01-04,1988-12-30,,,253,False,-0.083673,-0.068551,-0.831916,-0.762402,-0.115524,-0.100568,0.015123,0.069515,12.948617,20.916996
1989,IS,1989-01-03,1989-12-29,,,252,False,0.265331,0.183368,1.560636,1.359964,-0.111628,-0.107612,-0.081964,-0.200672,14.000000,34.000000
1990,IS,1990-01-02,1990-12-31,,,253,False,-0.153308,-0.132180,-0.922129,-0.942142,-0.191405,-0.159215,0.021128,-0.020012,19.920949,38.845850
1991,IS,1991-01-02,1991-12-31,,,253,False,0.319491,0.295196,1.240595,1.275281,-0.191971,-0.152995,-0.024295,0.034685,20.916996,25.897233
1992,IS,1992-01-02,1992-12-31,,,254,False,0.228075,0.238229,1.115634,1.185824,-0.200923,-0.191069,0.010154,0.070190,22.818898,33.732283
1993,IS,1993-01-04,1993-12-31,,,253,False,0.025102,0.036284,0.229952,0.300414,-0.191664,-0.167462,0.011182,0.070462,12.948617,17.928854
1994,IS,1994-01-03,1994-12-30,,,252,False,-0.030561,-0.022812,-0.131483,-0.142281,-0.116517,-0.083433,0.007749,-0.010797,15.000000,16.000000
1995,IS,1995-01-03,1995-12-29,,,252,False,0.616446,0.447010,2.631273,2.483040,-0.112608,-0.102747,-0.169436,-0.148233,10.000000,20.000000
1996,IS,1996-01-02,1996-12-31,,,254,False,0.194219,0.126916,0.930870,0.807247,-0.147983,-0.112952,-0.067303,-0.123623,24.803150,28.771654
1997,IS,1997-01-02,1997-12-31,,,253,False,0.269726,0.187630,1.396087,1.361639,-0.110345,-0.081033,-0.082097,-0.034449,5.976285,5.976285
1998,IS,1998-01-02,1998-12-31,,,252,False,0.338481,0.416148,1.219517,1.439474,-0.143818,-0.110611,0.077667,0.219957,15.000000,15.000000
1999,IS,1999-01-04,1999-12-31,,,252,False,0.848740,0.741667,1.824366,1.616505,-0.345727,-0.382485,-0.107072,-0.207861,13.000000,15.000000
2000,IS,2000-01-03,2000-12-29,,,252,False,-0.154596,-0.137333,-1.129073,-1.109358,-0.154596,-0.137333,0.017263,0.019715,1.000000,1.000000
2001,IS,2001-01-02,2001-12-31,,,248,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,,0.000000,0.000000
