window_id,window_kind,start_date,end_date,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,cand_minus_base_cagr,cand_minus_base_sharpe
2017,IS,2017-01-03,2017-12-29,251,False,0.265657,0.252352,1.661628,1.596417,-0.108958,-0.113079,-0.013306,-0.065211
2018,IS,2018-01-02,2018-12-31,251,False,-0.092507,-0.066220,-0.413679,-0.295350,-0.200624,-0.187950,0.026287,0.118328
2019,IS,2019-01-02,2019-12-31,252,False,0.297993,0.312253,1.214092,1.450411,-0.188114,-0.166816,0.014259,0.236320
2020,IS,2020-01-02,2020-12-31,253,False,0.709086,0.759398,1.985603,1.968497,-0.210667,-0.210667,0.050312,-0.017105
2021,OOS,2021-01-04,2021-12-31,252,False,0.270544,0.147749,1.130587,0.760188,-0.193126,-0.198253,-0.122795,-0.370399
2022,OOS,2022-01-03,2022-12-30,251,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,
2023,OOS,2023-01-03,2023-12-29,250,False,0.328754,0.246081,1.055916,0.893789,-0.263842,-0.250233,-0.082673,-0.162128
2024,OOS,2024-01-02,2024-12-31,252,False,0.265104,0.327353,0.959992,1.148983,-0.165047,-0.153004,0.062249,0.188990
2025,OOS,2025-01-02,2025-12-31,250,False,0.258981,0.298122,1.037018,1.125841,-0.163292,-0.148509,0.039141,0.088823
2026,OOS,2026-01-02,2026-03-26,58,True,-0.284104,-0.342340,-1.268439,-1.427061,-0.131968,-0.147870,-0.058236,-0.158622
