label,env,date_start,date_end,years_IS_actual,years_OOS_actual,years_FULL_actual,CAGR_IS_pretax,CAGR_OOS_pretax,CAGR_FULL_pretax,CAGR_IS_aftertax,CAGR_OOS_aftertax,CAGR_FULL_aftertax
S1_F10,CFD_taxed,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.330742,0.312336,0.328887,0.288853,0.268459,0.286755
S2_D5,CFD_taxed,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.301517,0.276421,0.298981,0.259370,0.238162,0.257188
E4_Active,CFD_taxed,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.322312,0.284125,0.318436,0.280753,0.244194,0.276970
S3_DH-W1_baseline,ETF_NISA,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.182553,0.174303,0.181724,0.182553,0.174303,0.181724
S3_DH-W1_baseline,ETF_taxed,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.182553,0.174303,0.181724,0.157947,0.145441,0.156664
S3+V0_def,ETF_NISA,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.168383,0.165963,0.168140,0.168383,0.165963,0.168140
S3+V0_def,ETF_taxed,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.168383,0.165963,0.168140,0.145202,0.138385,0.144504
S3+V7_pure_boost,ETF_NISA,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.187685,0.176931,0.186603,0.187685,0.176931,0.186603
S3+V7_pure_boost,ETF_taxed,1974-01-02,2026-03-26,46.995000,5.232000,52.227000,0.187685,0.176931,0.186603,0.162403,0.147676,0.160890
