window_id,window_kind,start_date,end_date,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,cand_minus_base_cagr,cand_minus_base_sharpe
2017,IS,2017-01-03,2017-12-29,251,False,0.265657,0.150592,1.661628,1.151291,-0.108958,-0.109769,-0.115066,-0.510336
2018,IS,2018-01-02,2018-12-31,251,False,-0.092507,-0.100906,-0.413679,-0.640574,-0.200624,-0.169318,-0.008399,-0.226896
2019,IS,2019-01-02,2019-12-31,252,False,0.297993,0.245790,1.214092,1.183842,-0.188114,-0.149566,-0.052203,-0.030250
2020,IS,2020-01-02,2020-12-31,253,False,0.709086,0.834947,1.985603,2.524198,-0.210667,-0.122740,0.125861,0.538595
2021,OOS,2021-01-04,2021-12-31,252,False,0.270544,0.161042,1.130587,0.851427,-0.193126,-0.212493,-0.109501,-0.279160
2022,OOS,2022-01-03,2022-12-30,251,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,
2023,OOS,2023-01-03,2023-12-29,250,False,0.328754,0.303518,1.055916,1.080479,-0.263842,-0.206181,-0.025236,0.024563
2024,OOS,2024-01-02,2024-12-31,252,False,0.265104,0.275815,0.959992,1.090778,-0.165047,-0.166282,0.010711,0.130786
2025,OOS,2025-01-02,2025-12-31,250,False,0.258981,0.177366,1.037018,0.794108,-0.163292,-0.164800,-0.081615,-0.242910
2026,OOS,2026-01-02,2026-03-26,58,True,-0.284104,-0.014154,-1.268439,-0.018234,-0.131968,-0.059247,0.269950,1.250204
