signal_id,signal_name,mean_abs_ic,max_abs_ic,n_strats_passing,min_p_bh
macro_nasdaq_mom21,nasdaq_mom21,0.052495176494547935,0.054423851615426885,3,0.0
macro_nas_gold_rel63,nas_gold_rel63,0.04461858514323266,0.05308271275522934,3,0.0
macro_nfci_z52w,nfci_z52w,0.03924036866852443,0.04161024352203083,3,0.0
macro_nasdaq_mom63,nasdaq_mom63,0.03064943027404393,0.044667635295219166,3,0.0
macro_gold_bond_rel63,gold_bond_rel63,0.028535398478784817,0.030577769258882604,3,0.0
repo_2,repo_2_30y_10y_termpremium,0.02769787771607657,0.030353537946876785,3,3.9634961979118083e-13
macro_yc_10y30y,yc_10y30y,0.027627474141125315,0.02981143829713973,3,3.963496197911809e-14
macro_vix_mom21,vix_mom21,0.027431867098207705,0.03134046187189028,3,0.0
macro_bond_mom63,bond_mom63,0.02742800074536254,0.02955809667208193,3,0.0
macro_gold_mom63,gold_mom63,0.025968319619102734,0.02903740331975864,3,0.0
macro_vix_z63,vix_z63,0.025298729320441225,0.028334832899650282,3,0.0
macro_bond_mom21,bond_mom21,0.022070623956121787,0.02419670624831553,3,1.0809535085214025e-14
macro_vix_z252,vix_z252,0.020890161062397286,0.02513594024496607,3,5.010991621645644e-13
macro_gold_mom21,gold_mom21,0.020264597174934323,0.021360285201067055,3,2.3941848503739038e-11
macro_dgs10_mom63,dgs10_mom63,0.020230327722112446,0.021453028993582146,3,6.235175533781126e-11
macro_bond_mom126,bond_mom126,0.020198077987647008,0.023237455714745343,3,1.8306983371101835e-09
macro_gold_mom252,gold_mom252,0.015667013631583997,0.02026767576819074,3,4.720079370835112e-09
macro_yc_3m10y,yc_3m10y,0.015597459846506201,0.020344410156019215,3,4.9588705142156186e-08
macro_yc_3m10y_z63,yc_3m10y_z63,0.015484526542342933,0.020599562824763183,3,5.893366875590026e-11
macro_dgs10_z252,dgs10_z252,0.014714085514258795,0.016234566677752707,3,5.775157925734898e-05
macro_pres_cycle,pres_cycle,0.014152232367262466,0.016944835242493652,3,1.5337621955942517e-05
macro_gold_mom126,gold_mom126,0.013670156182412102,0.017325755638436982,3,1.7545277027160613e-08
macro_dxy,dxy,0.013071075493823947,0.015287615842325977,3,0.001921723006582973
repo_3,repo_3_dff_change_1m,0.012567307073652641,0.013513914684673759,3,2.5790587424987987e-06
macro_dxy_ret20,dxy_ret20,0.012135588825541313,0.014593625432124589,3,0.0005690885234173671
macro_dxy_ret63,dxy_ret63,0.011532049490036778,0.01570287601719576,3,0.00027264530892616396
macro_nfci_chg13w,nfci_chg13w,0.01151880391358537,0.013393192248188869,3,0.00034098107318609767
macro_vix_ret_5d,vix_ret_5d,0.011465367322983781,0.016499515440305184,2,8.794644842167753e-09
macro_nas_bond_rel63,nas_bond_rel63,0.010391559806413772,0.023738012960725252,1,5.848379280859461e-10
macro_dgs10_level,dgs10_level,0.00972105295951629,0.015797118353423265,2,0.00030404266081137245
macro_nfci,nfci,0.008829119339669804,0.012712237164905063,2,0.0010903984181387298
repo_5,repo_5_dgp_2xgold_logret_21d,0.008786247905469181,0.011595592545951957,2,0.026249561934911368
macro_bond_mom252,bond_mom252,0.008769400910615262,0.010772313053869947,3,0.001386409186873335
macro_credit_spread_z252,credit_spread_z252,0.008457188079211786,0.016414736387528956,1,2.359966304705044e-05
macro_nasdaq_mom126,nasdaq_mom126,0.008346600173237835,0.011898167558656095,2,0.00016709705945466835
macro_dow,dow,0.008266100288652607,0.013247894129359753,3,8.746728305213709e-07
macro_credit_spread,credit_spread,0.00777625669418787,0.011055008331461592,3,0.002878878242150834
repo_1,repo_1_baa_minus_aaa_spread,0.007183274513462834,0.009270517239336926,0,0.4247864725440529
macro_month_cos,month_cos,0.006828705560970458,0.010930952093142637,2,0.0022564190431666217
repo_4,repo_4_dff_minus_10y,0.0067909836466502685,0.007970964520850112,2,0.05647287239663197
macro_dxy_z252,dxy_z252,0.0060060343866513025,0.00795794862353939,1,0.10398438960815597
repo_6,repo_6_drn_3xreit_logret_21d,0.005353788302568052,0.0076974371100831055,1,0.09431315367531197
macro_vix_level,vix_level,0.005066393863724851,0.008167863294328706,2,0.012999498427333167
macro_yc_2s10s,yc_2s10s,0.004728331330353513,0.0061371633510756965,2,0.13000334510526884
macro_credit_spread_mom63,credit_spread_mom63,0.004696298835413461,0.00803424395660805,1,0.08057057309235176
macro_month_sin,month_sin,0.004602140070417045,0.004878170904553697,0,0.1830946441844329
macro_yc_3m10y_z252,yc_3m10y_z252,0.004355320052565429,0.007990498786748292,1,0.09165108960492671
repo_7,repo_7_cpi_yoy_surprise,0.004204220694829605,0.005662845545142791,0,0.4779952530748307
macro_nasdaq_mom252,nasdaq_mom252,0.0029994501200657684,0.004240942796750904,1,0.14626600511275525
repo_9,repo_9_ml_pc1,0.0023468765450525048,0.0024940362151850085,0,0.516013083477098
macro_month,month,0.0013520112780481136,0.00209456111040066,0,0.6100121991249092
repo_8,repo_8_ml_pred_sign,,,0,
